january ionawr
disastrous drychinebus
lighter ysgafnach
minerals fwynau
ancient hynafol
cross chroesi
daily ddyddiol
moor gwaun
police heddlu
esophagus oesoffagws
twenty ugain
type teip
isthmus culdir
prince pendefig
width lled
report adrodd
family teulu
fatal angheuol
range amrywiaeth
turn troi
patagonia batagonia
peaks gopaon
dark dywyll
favorable ffafriol
migrants ymfudwyr
deliberately fwriadol
conservative ceidwadol
brecon aberhonddu
settlement gwladfa
suitable addas
male gwrywaidd
think meddwl
gods duwiau
including gynnwys
dioxide deuocsid
cod côd
trains trenau
other arall
graph graff
pronouns rhagenwau
beaumaris biwmares
photon ffoton
morning fore
ink inc
audiences cynulleidfaoedd
topic bwnc
received derbyn
hands nwylo
ovary ofari
organizing trefnu
venice fenis
raid cyrch
sir syr
bare foel
italian eidaleg
satellites loerennau
some rai
value gwerth
jewish iddewon
round gron
number nifer
and â
plurality lluosogaeth
intergovernmental rhynglywodraethol
signed arwyddodd
music cerddoriaeth
sao são
approached atyn
ospreys gweilch
carmarthen nghaerfyrddin
sunday sul
look edrych
to iw
meat cig
goddess dduwies
transported cludir
required hangen
destruction dinistr
divided rhannwyd
conquest goncwest
files ffeiliau
add ychwanegu
predict darogan
up hyd
horse ceffyl
is rhoddir
breathing anadlu
pools byllau
unclear aneglur
principle egwyddor
belarus belarws
sheath wain
developments datblygiadau
multiple lluosog
valleys dyffrynoedd
ocean cefnfor
u.s. uda
humanity ddynoliaeth
no dîm
affected effeithiwyd
six chwech
archeology archaeoleg
reason rheswm
appointed penododd
microbes microbau
wilderness diffeithwch
do wyt
dear annwyl
completely hollol
villages bentrefi
married briod
tremendous aruthrol
blend asio
stress straen
banners baneri
importance bwysigrwydd
revolutionary chwyldroadol
them ohonyn
reign nheyrnasiad
cake teisen
apartment randy
cornwall gernyw
video fideo
equipment offer
dominated dominyddir
determined benderfynol
peninsula penrhyn
contribute gyfrannu
park parc
actress actores
assess asesu
series gyfres
metric metrig
mean olygu
musicians cerddorion
beautiful hardd
record cofnodi
action gweithred
ceremonial seremonïol
prestige bri
give rhoi
changed newidwyd
short byrion
choice dewis
headquarters pencadlys
polytheism amldduwiaeth
forest goedwig
belief cred
will bydd
prose rhyddiaith
limit terfyn
tenth ddegfed
capture gipio
blocks blociau
created greodd
pay dalu
opposed gwrthwynebwyd
thought credir
seeds hadau
order urdd
restrictions cyfyngiadau
solution hydoddiant
queen frenhines
three tri
babylon babilon
to at
harvested fedi
migration mudo
as mor
dictionary geiriadur
consideration ystyrid
central ganolog
sill sil
sit eistedd
four pedwar
norse llychlynaidd
rejected gwrthod
welsh cymraeg
free di
answered atebodd
summit copa
all oll
primitive cyntefig
lands diroedd
does dyw
alliance cynghrair
difference gwahaniaeth
fall syrthio
farmers ffermwyr
popularity boblogrwydd
show sioe
california nghaliffornia
minerals mwynau
members haelodau
vapor anwedd
so hynny
presidents arlywyddion
disciplines disgyblaethau
over drosodd
communists gomiwnyddion
god duw
set osodwyd
crown goron
strength nerth
orchestra cerddorfa
soil pridd
inventor dyfeisydd
warblers teloriaid
palestinians balesteiniaid
calculation cyfrifiad
chest frest
sign arwydd
bridge phont
age oedran
published gyhoeddir
immigration mewnfudiad
head pen
youth ieuenctid
territory diriogaeth
hold ddal
sexual rhywiol
presented cyflwynodd
parties bleidiau
natural naturiol
official swyddogol
appointed apwyntiwyd
after ôl
lost gollwyd
tubes tiwbiau
idea syniad
number rif
particles ronynnau
event digwyddiad
sense ymdeimlad
compromise gyfaddawd
pneumonia niwmonia
plays dramâu
with chyda
anaerobic anaerobig
memories atgofion
disagreement anghytundeb
hair gwallt
affinity chyfathrach
parks parciau
missionaries cenhadon
expansion ehangu
s wŷr
establishments sefydliadau
unsuccessful aflwyddiannus
neutral niwtral
route lwybr
dictator unben
mammals mamaliaid
cause peri
resource adnodd
voice lais
grandmother nain
opportunity cyfle
cultural diwylliannol
corners ban
agreements gytundebau
towns trefi
snowdonia eryri
christian gristion
disc ddisgen
observances chadwraethau
slopes pwnig
pass basio
far pellaf
keen awyddus
processes brosesau
witches gwrachod
developed ddatblygwyd
visit ymweld
mountainous fynyddig
a â
wars ryfeloedd
poor gwael
differences wahaniaethau
owner perchen
activity weithgaredd
press gwasg
round crwm
comedy gomedi
maps mapiau
civil sifil
defined diffiniwyd
condition gyflwr
earthquake daeargryn
fatal farwol
corn ŷd
ataturk atatürk
unhealthy afiach
helmet crested
deeper ddyfnach
independence annibyniaeth
bank banc
wikimedia wicifryngau
glasses llwybrau
they nhw
byzantine fysantaidd
subdivisions israniadau
shop siop
bat ystlum
maintenance chynnal
brain ymennydd
round crwn
plain gwastadedd
petrel pedryn
country wlad
movement symudiad
computing oi
traditional draddodiadol
seagulls gwylanod
maintain gynnal
peaks copaon
friend ffrind
image delwedd
acids asidau
cycles cylchoedd
limit cyfyngu
saw welodd
views golygfeydd
immunity imiwnedd
pound punt
headquarters pencadlysoedd
manuscript lawysgrif
commander dant
doubt amheuaeth
dissolved hydoddi
those rheini
it iddo
that mai
refers cyfeiria
ironic eironig
turkey nhwrci
they oeddent
email ebost
winning fuddugol
island ynys
violin ffidil
enjoy teimlai
host lu
many lawer
comes daw
farmer ffermwr
magic hud
bomb fom
atmosphere atmosffêr
class dosbarth
jordan iorddonen
equator cyhydedd
killed laddwyd
efficiency effeithlonrwydd
drove gyrrodd
nightingale eos
three thair
once unwaith
before callestr
trees goed
them ohonynt
thought átha
ditch ffos
down seddau
trinity drindod
go aiff
f dd
equilibrium ecwilibriwm
pages tudalennau
dissatisfied anfodlon
was doedd
pluto plwton
welsh gymreig
organization sefydliad
two ddau
constantinople gaergystennin
flow llif
vary amrywio
arm braich
regeneration adfywiad
public gyhoeddus
author awdures
burned llosgwyd
week wythnos
glebe llan
cells chelloedd
thought credid
had doedd
did lwyddodd
crowd dorf
james iago
elected hethol
bank glawdd
gray lwyd
flycatcher brith
solomon selyf
he yntau
practices arferion
sample sampl
citizens dinasyddion
massacre gyflafan
by trwy
presentation cyflwyniad
pied gwybedogion
popularity phoblogrwydd
citizen ddinasyddion
connection gysylltiad
two dwy
nuts gnau
methods ddulliau
kept cedwir
highest uchaf
alder gwerni
cut dorri
otherworld arallfyd
disease clefydau
books llyfrau
trip gwibdaith
saudi sawdi
extensive helaeth
dynasty brenhinllin
church eglwysig
legislation deddfwriaeth
memory cof
to mwyn
scots sgoteg
blackbird mwyalchen
portal porth
the yr
host llu
summers hafau
easter pasg
link chysylltu
shops siopau
engineering peirianneg
unknown wyddom
