represent melambangkan
order tatanan
first dahulu
deteriorate memburuk
second saat
rightful berhak
collector kolektor
used dulunya
giver pemberi
veil selubung
overcome mengatasi
strengthened menguat
the yang
descent keturunan
socialism sosialisme
religion beragama
gift hadiah
sporting berolahraga
intestine usus
secondary sekunder
convention tata
launch meluncurkan
genie jin
common lazim
daylight siang
commonly lazimnya
level setingkat
simplified disederhanakan
his sahabatnya
wish menghendaki
patent paten
biography biografi
confucius konghucu
translated diterjemahkan
watch mengamati
parent tuanya
mammals mamalia
age usianya
prayer salat
holder pemegang
damaged rusaknya
recognized diakui
mistake kesalahan
achieved diraih
spirited bersemangat
rabbit kelinci
manuscript naskah
felt dirasakan
crowded ramai
chest peti
turmoil gejolak
thousand seribu
interesting menarik
propose mengusulkan
chilli cabe
often kerap
plant tanaman
literally harafiah
middling sedang
knowledge pengetahuan
processed diolah
dark gelap
periodical berkala
combine memadukan
leveled bertingkat
mitochondrion mitokondria
rise naiknya
mark menandai
enjoying menikmati
industrialization industrialisasi
milk susu
influenced terpengaruh
barrier penghambat
credit kredit
are diantaranya
grand agung
release pelepasan
able mampu
motivator penggerak
economical ekonomis
mouth mulut
help membantu
copied mencetak
sprout kecambah
built dibangun
avenge membalas
silver perak
port pelabuhan
around disekitar
daughter puteri
upgrade ditingkatkan
online daring
substitute pengganti
searching pencarian
defect cacat
with dgn
concavity cekungan
process memproses
approximately kira
vacuoles vakuola
records rekaman
stadium gelora
widely luas
attack menyerangnya
liked disukai
men buahnya
building gedung
scholars ulama
opportunity peluang
location lokasi
immunity kekebalan
respiratory pernapasan
whoever barangsiapa
ask minta
booster penyokong
divert mengalihkan
new barunya
differential diferensial
precious berharga
involved terlibat
shy malu
silicone silikon
waste limbah
increment penambahan
infrared inframerah
last lalu
nexus perhubungan
menstruation menstruasi
disappear menghilangkan
slab lempengan
music muzik
brand cap
accounts konten
scheme skema
duration durasi
her usianya
excise cukai
servant abdi
ongoing berlangsungnya
worship pemujaan
split memecah
determination penentuan
surely tentunya
commerce perniagaan
pigeon dara
voter pemilih
settlement pendudukan
forming pembentuk
predict meramalkan
known dikenali
available tersedianya
tomato tomat
king maharaja
belt sabuk
binary biner
mentioned disebutkan
intention maksud
big beraneka
steady mantap
quantum kuantum
rescue penyelamatan
accompanied didampingi
affected berpengaruh
grow bertumbuh
burned dibakar
taken ditempuh
constants konstanta
spreader penyebar
monthly bulanan
idiom ungkapan
italy italia
complain mengadu
behind belakangnya
landscape bentang
give memberinya
effectiveness efektivitas
shining bercahaya
debated diperdebatkan
emotion emosi
ten puluh
authorize mengesahkan
started dimulai
stay menetap
victorious jaya
one se
wrong salah
moses musa
subsequently setelahnya
irritated kesal
kinetic kinetik
think pikir
fall gugur
believes mempercayai
heracles herakles
logical logis
seen dilihat
deen dien
serve menyajikan
sew menjahit
armourer mpu
warm hangat
horse kuda
but namun
goats kambing
balance perimbangan
trial persidangan
persuade membujuk
revenge pembalasan
adapt beradaptasi
muscle urat
pushed didorong
single wahid
obstetrics kebidanan
argue membantah
inverted terbalik
stage tahap
receive menampung
will kehendak
bring membawanya
leaves menyisakan
degree taraf
vaccine vaksin
facilitate memudahkan
appearance penampilannya
adviser penasehat
commander komandan
justice keadilan
also juga
include memasukan
developed dikembangkan
renewed diperbaharui
option pilihan
tame jinak
knowledge keilmuan
olympiad olimpiade
live tinggal
prokaryotes prokariota
photography fotografi
improve membaik
faith beriman
love asmara
burn membakar
nationality berkebangsaan
participation partisipasi
taker pengambil
rocket roket
core inti
giving memberinya
various aneka
adaptations adaptasi
denoted dilambangkan
dispute perselisihan
sociological sosiologis
compared dibandingkan
split terpecah
idea wacana
lust nafsu
vehicle wahana
proficiency kecakapan
quality mutu
his sosialnya
photographer fotografer
remote terpencil
portuguese portugis
malignant ganas
associated diasosiasikan
contributing berkontribusi
after sesudah
embryo embrio
fusion fusi
measured diukur
labour persalinan
madina madinah
only hanya
cover menutupi
gymnasium gelanggang
her membantunya
ancestor leluhur
can dapat
supply pasukan
melody melodi
unfortunately sayangnya
was dulu
pay bayar
famous terkenal
option opsi
formation pembentukan
which jang
inject suntik
protease departemen
dominated didominasi
enforcer penegak
political politik
composed tersusun
blessing berkat
saint st
lean miring
optics optik
enough memadai
consideration pertimbangan
amazing mengagumkan
defense pembela
member beranggotakan
trend tren
skin berkulit
rhyme sajak
menstrual menstruasi
dated tertanggal
corn bulir
first pertama
advice saran
leaved berdaun
belgium belgia
regulation peraturan
bulge tonjolan
murder pembunuh
introduce mengenalkan
continued berlanjut
maximum maksimum
differences perbedaannya
sibling kandung
change diubah
colouration pewarnaan
faerie peri
maintain mempertahankan
rupee rupiah
it itu
unknown diketahui
primitive primitif
analyze menganalisis
consuming memakan
thrust dorong
returned dikembalikan
parliament parlemen
international internasional
alley gang
button tombol
while sambil
mohammad moh
suffering menderita
adapt menyesuaikan
inspiration inspirasi
expand membesar
may boleh
group kelompoknya
favorite favorit
virgin dara
university amik
control menguasai
square kuadrat
covered ditutupi
be dijadikan
related berhubungan
prejudicial merugikan
khadija khadijah
bible injil
level tingkatan
sky angkasa
test diuji
amount besarnya
confirm menguatkan
cruelty kekejaman
knowing mengetahui
treasury kas
epidemic wabah
creation pembentukannya
flat rata
preliminary pendahuluan
needed membutuhkan
inside didalamnya
diet musyawarah
lingam lingga
community masyarakat
resistance perlawanan
gambier gambir
merely semata
temple bait
especially khususnya
maleic malin
prohibited terlarang
walking berjalan
submitted diserahkan
its keberadaannya
they mereka
copied menyalin
court pengadilan
instrument instrumen
witness saksi
dead mati
reinforce memperkuat
politician politisi
registrant pendaftar
gall empedu
academic akademik
predict memprediksi
gland kelenjar
limit batas
recommended dianjurkan
count hitungan
greatness kebesaran
held diadakan
perfect sempurna
future depan
composition komposisinya
player pemeran
between antar
sourced bersumber
generator penghasil
organised rapi
challenging menantang
name namanya
care asuhan
his pamannya
form berbentuk
preservation pelestarian
stock saham
details terperinci
blending memadukan
her nya
religion kepercayaan
all segenap
publication terbitan
compare membandingkan
confuse keliru
knowledge ilmu
celebes sulawesi
scout pramuka
chilli sambal
intermediate perantara
husband suami
identifying mengidentifikasikan
hydrocarbons hidrokarbon
pebble kerikil
woman perempuan
protector pelindung
over berlalu
way penjuru
rather agak
struck dipukul
businessman pengusaha
functions fungsinya
face rupa
agree menyetujui
region daerah
his studinya
designation sebutan
wolf serigala
seat kursi
perish musnah
substance zat
technique caranya
contrast berlawanan
treating mengobati
preserve mengamankan
explain menerangkan
destroyed hancur
word firman
look memandang
waste membuang
advantage keuntungan
create menimbulkan
want hendak
height ketinggian
compassion asih
increment kenaikan
shopping perbelanjaan
holding memegang
conventional konvensional
code sandi
architect arsitek
this ini
cyanide sianida
chase mengejar
deposit simpanan
fasting puasa
first mulanya
discrimination diskriminasi
actor dalang
visitor pengunjung
script aksara
madison madiun
dead kematian
stealing mencuri
position kedudukannya
view pemandangan
get mendapatkan
woman wanita
husband suaminya
lungs paru
poisoned keracunan
bleeding pendarahan
hit dilanda
victory merdeka
modify mengubahnya
mere belaka
contagious menular
defending membela
morpheme morfem
willing rela
run berlari
abbasid abbasiyah
science sains
respond respon
investigator penyelidik
high tinggi
way cara
sphere bulatan
life nyawa
placed meletakkan
directory direktori
information keterangan
suffix akhiran
improved membaik
cut potong
variation variasi
sound berbunyi
continuous menerus
is merupakan
radiation radiasi
transport transpor
rival saingan
piece potongan
farmer petani
her membunuhnya
side sebelah
mechanism mekanika
stem tangkai
one seekor
just cuma
goodness kebaikan
created terbentuknya
professional profesional
soldier laskar
hearing pendengaran
lips bibir
activate mengaktifkan
recommendation rekomendasi
settlement permukiman
lymphocyte limfosit
expat ekspatriat
channel saluran
have memilki
street jl
grip pegangan
mandate mandat
philosophical filosofis
fight perkelahian
ascent pendakian
email surel
isolated terisolasi
microorganisms mikroorganisme
season musim
standard taraf
interest berminat
duck bebek
superiority kelebihan
laid diletakkan
decadence kemunduran
silk sutra
confrontation konfrontasi
baby bayi
spirit semangat
certification sertifikasi
free membebaskan
legislation legislasi
his andalannya
transverse melintang
so demikian
formulated dirumuskan
talk bicara
pride kebanggaan
glucose glukosa
redness kemerahan
equal timbal
against terhadap
processing pengolah
type tipe
cock kok
more makin
quality kualitas
exploitation eksploitasi
independent mandiri
complete lengkap
accountancy akuntansi
revive memulihkan
press menekan
pump pompa
cruel kejam
control terkontrol
beginning mulanya
indicates mengindikasikan
rounded mengitari
calm tenang
reference rujukan
good baik
office jabatannya
carstensen didalamnya
they silang
calculated diperhitungkan
assessed dinilai
vertebrate vertebrata
hole lubang
support penyokong
ash abu
citizenship kewarganegaraan
throw melempar
hybrid hidrida
concentrated terkonsentrasi
variety variasi
his pandangannya
shade nuansa
threatening mengancam
epithet julukan
note catatannya
clinical klinis
supplier pemasok
impact benturan
conveyed disampaikan
explain menjelaskan
soluble larut
expense beban
desire keinginan
vedas weda
base pangkalan
there disana
his rambutnya
center sentra
safe aman
province provinsi
stay tetap
appoint mengangkat
layman awam
embassy kedutaan
hygiene kebersihan
meet memenuhi
used dipergunakan
destroyed memusnahkan
dense kental
resources sumberdaya
supposed seharusnya
pieces potongan
caused ditimbulkan
fluid cairan
social sosial
fiber serabut
character sifat
given diberikan
enlightenment pencerahan
immortalized diabadikan
scent aroma
orgasm orgasme
available didapatkan
picture gambaran
nature hakikat
order ordo
set sekumpulan
according sesuai
can sanggup
study kajian
cover melingkupi
industrial perindustrian
element elemen
fun menyenangkan
bacterial bakteri
village dusun
realize mewujudkan
use menggunakan
rule peraturan
release rilis
diversity keragaman
wanted menginginkan
tire ban
examine menguji
forevermore selamanya
fictive fiktif
introduce memperkenalkan
chronological kronologis
glance sekilas
world dunia
efficient efisien
dispute sengketa
detection deteksi
training berlatih
shocked terkejut
after selepas
liaison penghubung
careful cermat
tea teh
nose hidung
prize hadiah
string senar
sheikh syaikh
through melalui
enthusiasm gelora
gone hilangnya
abolished dihapuskan
present menyajikan
fall turun
residue residu
lie berbaring
violate melanggar
flooding genangan
plan rencana
municipality kotamadya
big gede
turkey turki
unity persatuan
populate berpenduduk
tube tabung
generally umumnya
shattered terpecah
hostel asrama
spreading merambat
individually individual
criticized dikritik
battle pertarungan
advent masehi
want ingin
successor kelanjutan
evolved berevolusi
russian russia
circulation peredaran
such sedemikian
apparent semu
increase naik
end berakhir
unrest kerusuhan
unilateral sepihak
send menyampaikan
totaled berjumlah
collected dikumpulkan
designed didesain
diversity keanekaragaman
philippines filipina
note mencatat
relation sambungan
minister menteri
rich kaya
not tidak
hastinapur hastinapura
sphere ranah
equation persamaan
leading terkemuka
symmetric simetris
popularize memopulerkan
energy energinya
line sejalan
usual lazim
tension ketegangan
bunga interest
bonds obligasi
lizards biawak
student murid
sued dituntut
want menghendaki
citizen warga
theater mandala
eg misalkan
engraving ukiran
cult kultus
genetic genetika
microscope mikroskop
sunday minggu
him kepadanya
flowering berbunga
times kali
entry entri
root akar
tie kaitan
stick menempel
found didapati
motor bermotor
shrink menyusut
capable mampu
pastor pendeta
tend cenderung
builder pembentuk
reformation perombakan
rolls gulungan
moves jurus
disguise menyamar
task tugas
suppress membendung
produced diproduksi
independent berdaulat
fowl unggas
fella bung
report melaporkan
threatened terancam
teaching ajaran
photograph potret
like menyerupai
drive mengendarai
suggestion sarang
masquerade menyamar
assertive tegas
threshold ambang
radiate memancarkan
style gaya
classification klasifikasi
numbers banyaknya
against memerangi
greek yunani
requirements persyaratan
in secara
infrastructure prasarana
in-charge membidangi
specialization spesiasi
preserve cagar
his pedangnya
state menyatakan
sultanate kesultanan
title gelar
allowed dibiarkan
specific spesifik
line lintasan
quantitative kuantitatif
set menetapkan
soldier tentara
disband bubar
pyruvate piruvat
hip pinggul
up keatas
roman romawi
click klik
naming penamaan
deed perbuatan
replace diganti
rule pasal
victory wijaya
than dibanding
his orangtuanya
authority kewenangan
age berumur
fur bulu
bond obligasi
do melancarkan
wife isteri
holiday cuti
emerging munculnya
threaten mengancam
decade dekade
assess menilai
headman penghulu
studied dikaji
like gemar
wing sayap
magnetosphere magnetosfer
rocks batuan
noodles mie
himalayas himalaya
fairy peri
providers penyedia
coincidence kebetulan
pig babi
chalk kapur
caliphate khilafah
director direksi
trained dilatih
described dideskripsikan
wages upah
break pecah
inter- antar
have miliki
unify menyatukan
across seberang
solar surya
foster tiri
specification spesifikasi
contain bermuatan
consequently akibatnya
estuary bermuara
class kelas
his matanya
neptune neptunus
suppression penekanan
not bukan
recommendations rekomendasi
cloak jubah
wicket gawang
hit memukul
object benda
colonialism penjajahan
plural majemuk
dysplasia pepagan
rated dinilai
gravitation gravitasi
ruling kepemimpinannya
bring mengantarkan
hydrogen hidrogen
fan kipas
eldest tertua
take membawanya
cooperation kerjasama
loyal setia
continue lanjut
compared sebanding
obedient taat
instantly seketika
break menembus
hate membenci
body tubuh
management pengelolaan
quoted dikutip
percentage persentase
close tutup
exit keluarnya
bullet peluru
escape terlepas
fluid fluida
politics politik
strategy strategi
landing pendaratan
worm cacing
insensitive insentif
opened terbuka
lobe lobus
blessed rahmat
under dibawah
immunization imunisasi
custody tahanan
ethic krama
head kepala
letter abjad
doom kiamat
recount menceritakan
describe menggambarkan
solving pemecahan
magic sakti
characteristics karakteristik
betting taruhan
incident kejadian
perspective perspektif
pox cacar
sweet manis
seal menyegel
crossing persilangan
subdistrict kecamatan
tooth gigi
run menjalani
conserve melestarikan
advanced dikemukakan
rank menduduki
lover kekasih
migration migrasi
protected terlindungi
dowry mahar
limestone gamping
category kategori
encyclopedias ensiklopedi
occult gaib
decline merosot
instructed disuruh
land mendarat
emotional emosional
reasonable wajar
writer sastrawan
persistent teguh
pope paus
load angkutan
village desa
overcoming penanggulangan
type macam
confederacy gabungan
happened terjadi
freedom merdeka
evolutionary evolusioner
canton kanton
condition keadaan
fainting pingsan
rank peringkat
guidance bimbingan
sacrifice mengorbankan
jungle rimba
foreign asing
guarantee menjamin
charcoal batu
god dewa
fleshy berdaging
niche relung
disintegration peluruhan
concentrate berpusat
some suatu
far jauh
suggested dianjurkan
ruin merusak
physics fisika
effect pengaruh
stature bertubuh
lyrics lirik
block blok
acoustics akustik
pirate bajak
insert memasukkan
shoulder bahu
group sekumpulan
fuel bakar
chancellor kejaksaan
glorification pemuliaan
complement komplemen
spreading penyebaran
used gunakan
referral rujukan
gill insang
location keberadaan
gather berkumpul
polysaccharides polisakarida
lip bibir
muddy jember
fighting perkelahian
training latihan
advancement perkembangan
convolution lilitan
horticultural hortikultura
her baginya
secretary sekretaris
demolition penghancuran
homemade rumahan
prepared disusun
fired dipercepat
levels tingkatan
controversy sengketa
restriction pembatasan
prove membuktikan
real nyata
fraction pecahan
details rincian
partial parsial
measure ukurannya
party pihak
raises memunculkan
office perkantoran
said dikatakan
yard pelataran
coat jas
city kota
heritage pusaka
obstacle hambatan
drastic drastis
classification penggolongan
title predikat
revoke mencabut
optical optik
conduct menghantarkan
wise arif
gymnastics senam
funeral pemakaman
hadith hadist
fast berpuasa
structural struktural
javanese rebo
word kata
started diawali
programmers pemrogram
route rute
ends ujungnya
researched diteliti
life kehidupan
dominance kekuasaannya
taxi taksi
beginning mula
special spesial
increase pertambahan
miles mil
personal personel
served disajikan
used diabadikan
induct melantik
intend bermaksud
contraction kontraksi
contribute menyumbang
ukraine ukraina
charge tuduhan
crowned dinobatkan
handheld genggam
blood getah
migrating bermigrasi
prosecutor jaksa
flow mengalir
motto semboyan
management pengurusan
bow tunduk
sub-district kecamatan
be berada
stem batang
neighbor tetangganya
upstream hulu
conversion pengubahan
segment ruas
scientific alamiah
weakened melemah
responded menanggapi
recede surut
enhanced ditingkatkan
defense pertahanan
efficiency efisiensi
offer penawaran
request permohonan
none satupun
hyperlink pranala
mark tanda
day siang
intelligent cerdas
literal harafiah
supervision pengawasan
for bagi
hymn himne
prosper sejahtera
early awal
explorer penjelajah
inside menaiki
servant peladen
request memohon
hands tangannya
paradigm paradigma
name malin
layered berlapis
embassy duta
muslims muslimin
wanted menghendaki
central tengah
collection pungutan
inside didalam
yemen yaman
his pasukannya
above diatas
dancing menari
distinguish membedakan
sketch sketsa
emerging kemunculan
compare banding
cover meliputi
revenge dendam
ahead mendahului
direction arahan
pole kutub
descent turunnya
show memperlihatkan
sex kelamin
basic pokok
coil lilitan
sweet ubi
hundreds ratusan
hole celah
race pacuan
amount berjumlah
love mencintai
blow pukulan
m.s. ms
nuanced bernuansa
debt hutang
close erat
single tunggal
spectator penonton
separate putus
achieve mencapai
monetary keuangan
tax pajak
size ukurannya
millennium milenium
proximity kedekatan
welcome sambutan
tyre ban
bang daur
follow mengikuti
anthropology antropologi
connector penghubung
introduced diperkenalkan
impact dampaknya
resulted dihasilkan
guard penjaga
scored dicetak
departure bertolak
too juga
ease mempermudah
deep mendalam
angel bidadari
appoint menunjuk
begin mengawali
opening pembuka
while sedangkan
phenomena fenomena
harm merugikan
deletion penghapusan
exchange penukaran
submit mengajukan
evenly merata
marriage pernikahan
outer terluar
nurture asuhan
is bersifat
prepare menyediakan
nationality kebangsaan
france francis
slave budak
court mahkamah
force tenaga
lift angkat
kingdom kesultanan
headquarter markas
guide pedoman
hers miliknya
pump memompa
cluster gugusan
law menantu
equality persamaan
why sebabnya
printers pencetak
carving ukiran
ottoman kesultanan
organized terorganisasi
so sebagainya
according menurutnya
messy kacau
upgrading penataran
eruption erupsi
receiver penerima
switzerland swiss
regulated diatur
controlled dikontrol
retail toko
judiciary kehakiman
pension pensiun
spain spanyol
swim berenang
listen mendengar
prayed beribadah
control penguasaan
release pemberhentian
removed dilepas
starch pati
ray sinar
gods dewata
astronomical astronomis
tough liat
each setiap
placed ditempati
to ke
name menamai
distribute didistribusikan
duchy kadipaten
charge membidangi
follow menyertai
his mulutnya
get meraih
reflect mencerminkan
idr rp
whole keseluruhan
complex kompleks
sandalwood cendana
structure bangun
zero nol
understand paham
meeting pertemuan
booster pendorong
visible tampak
cooperate gotong
teaching perguruan
rat tikus
leakage kebocoran
indirection tipuan
travel perjalanan
once sekali
period masa
soldier serdadu
induction induksi
prime perdana
amateur amatir
tie mengikat
moment momen
historical bersejarah
hajj haji
approved disetujui
atmosphere suasana
disk cakram
directed mengarahkan
incarnation penjelmaan
religious beragama
slide longsor
grace rahmat
eradication pemberantasan
retaliation balasan
prophet rasul
levels tahap
creation dibentuknya
figure sosok
indeed memang
dispatched mengutus
trillion triliun
number angka
tavern warung
unfortunately sayang
championship kejuaraan
mail pos
orbit mengorbit
deforestation penebangan
and dan
arrange menyusun
aesthetics estetika
slip meloloskan
tilt miring
destroy menghancurkan
including termasuk
family famili
imbalance ketidakseimbangan
her menyerangnya
filament filamen
achieved dicapai
unity penyatuan
trine trimurti
written ditulis
historical historis
ramadan ramadhan
weather hawa
fossil fosil
provide menawarkan
genius jenius
trough palung
variety ragam
reflected tercermin
recommended direkomendasikan
simplification penyederhanaan
segments segmen
signed menandatangani
placement penempatan
depletion kemunduran
retreat mundur
his kepemimpinannya
you kamu
criminal pidana
executed dilaksanakan
sanskrit sanskerta
import mengimpor
plant tanam
breath napas
wander berkelana
exact persis
cancer kanker
representation representasi
betrayal pengkhianatan
offers tawaran
rhythm irama
ethnic etnis
thug penjahat
portrait potret
cultivars kultivar
europe eropa
business usaha
stated dinyatakan
improvement perbaikan
find mencari
mathematical matematis
enlightening pencerahan
obliged wajib
reflect memantulkan
daughter putri
tools peralatan
advisor penasihat
gammer nyai
continuity kelangsungan
increasing naiknya
organism organisme
what apa
pre- pra
group berkelompok
is ialah
candy manisan
develop mengembang
after setelah
easy mudah
enough cukup
served dilayani
ask meminta
divider pemisah
formation dibentuknya
wax lilin
hair rambutnya
arrangement penetapan
control dikontrol
baths pemandian
republic republik
penetration penetrasi
cluster gugus
match pertandingan
problems permasalahan
connection kaitan
expand meluaskan
public umum
thermal termal
protected lindung
rare langka
private privat
cold dingin
advocate advokat
fertilisation pembuahan
receive terima
tunisian tunisia
concise ringkas
role peranan
land darat
portugal portugis
pollution polusi
battery baterai
sure yakin
injection suntik
abandon mengabaikan
cancelled membatalkan
by menurut
prediction prediksi
attack menyerang
main utama
offerings persembahan
building bangunan
pool genangan
choreographer koreografi
agreement perjanjian
vice wakil
occupied diduduki
questioning menanyakan
renaissance renaisans
semiconductor semikonduktor
cattle ternak
victim jiwa
processing pengolahan
meant diartikan
further lanjut
beg memohon
fanatic fanatik
lyric lirik
cane tebu
pack kumpulan
march maret
decide menentukan
level taraf
injury cedera
eliminate menghapuskan
fathers moyang
impact dampak
practiced dipraktikkan
service kedinasan
region wilayah
only hanyalah
death wafat
jobs pekerjaan
superior unggul
drum tifa
use penggunaan
cheap murah
brother abang
previously sebelumnya
shadow bayangan
cosmology kosmologi
downfall keruntuhan
expanded diperluas
escape kabur
appointed diangkat
fission fisi
administrator pengurus
celebrate memperingati
headquarters markas
depend bergantung
eater pemakan
response tanggapan
added menambahkan
often sering
saint nabi
work bekerja
fugitive pelarian
fans penggemarnya
staff tongkat
information info
community komunitas
sliding sorong
see lihat
reported dikabarkan
jakarta jayakarta
literature sastra
supply persediaan
critical kritis
environment lingkungannya
close rapat
practitioners praktisi
running berlaku
low rendahnya
even malah
poland polandia
malaysia malaya
noted diperhatikan
coin koin
heredity keturunannya
rocks bebatuan
candy permen
disturbed kacau
facing berhadapan
provision ketentuan
like semisal
namely yakni
cart kereta
commentary tafsir
follower pengikut
thinking memikirkan
trade niaga
animal hewan
own memiliki
driver penggerak
automatic otomatis
look kelihatan
broadcast menyiarkan
experience pengalaman
emptiness kekosongan
message amanat
discovery ditemukannya
spike tongkol
scandal skandal
bequeath mewariskan
be bersikap
masturbate masturbasi
played dimainkan
fragment belahan
traversal lintasan
chaired diketuai
her kecepatannya
induction pengadaan
ireland irlandia
palace kraton
attorney kejaksaan
are lah
smoothness kelancaran
calcium kalsium
corner penjuru
important penting
chakra cakra
train berlatih
utilization pemanfaatan
gopuram gapura
call menyebutnya
nuclear nukleat
blooming berbunga
subsequent sesudahnya
just sekedar
labor persalinan
them antaranya
finished diselesaikan
thoughts pikiran
claim mengklaim
modeling pemodelan
value nilai
drink meminum
phenomenon fenomena
comparing berbanding
square sangkar
gabriel jibril
office kantor
music musik
action beraksi
bleeding perdarahan
left-handed kidal
politicians politisi
distinct terpisah
consumer pemakan
increase memperbesar
requirement persyaratan
mount gunung
expected disangka
choose pilih
form wujud
gender kelamin
enjoyment kenikmatan
different berbeda
family keluarganya
race perlombaan
destroy kehancuran
combination perpaduan
hole rongga
origin asalnya
suggest menyarankan
cofactor kofaktor
drawings lukisan
deems dianggapnya
transmitted ditransmisikan
are bertanggung
carbonic karbonat
turn gilirannya
begin diawali
similarity kemiripan
compare bandingkan
acid asam
his ciptaannya
grow merambah
end berakhirnya
application penerapan
grow tumbuh
reduced dikurangi
slower memperlambat
result berakibat
invite menjemput
continued terus
conclusion penutup
shariah syariah
soil tanah
cling melekat
area kawasan
tested menguji
hollow rongga
fall curah
located terletak
disturbance gangguan
cooperation bekerjasama
under bawahnya
client klien
perfectly sempurna
shore tepian
place menempatkan
grilled bakar
calibre kaliber
sell menjual
break istirahat
unfilled terisi
join ikut
executor pelaksana
term sebutan
transparent transparansi
speed kecepatan
forced paksa
competence kompetensi
red merah
vein urat
simulation simulasi
contest perlombaan
search pencari
influence pengaruh
creation pembuatannya
slow lambat
cob tongkol
respect menghargai
coat mantel
do berbuat
astronomers astronom
measure ukur
desire kehendak
unite menyatukan
number berjumlah
control pengawas
presidential presidensial
prioritize mementingkan
police polisi
try dicoba
row deret
bring membawa
why mengapa
rival menyaingi
identity identitas
enthusiastic bersemangat
beam sinar
no tidak
won dimenangkan
i ku
hadith hadis
equator ekuator
gravel kerikil
commander panglima
macro makro
accessible diakses
break mematahkan
examined diperhatikan
supporter pendukung
assembly majelis
knight ksatria
antioxidants antioksidan
land tanahnya
dissatisfaction ketidakpuasan
fall jatuh
orchestra orkes
publicize mempublikasikan
cemetery astana
statue patung
look pandang
decoration hiasan
obtained didapat
disarm melucuti
communicating berkomunikasi
dollars dolar
user pemakai
war pertempuran
sago sagu
about tentang
afrikaans afrika
capture penangkapan
alas sayang
hoped diharapkan
geological geologis
tip pucuk
derived berasal
ribbon pita
capitalism kapitalisme
spur pacu
cell selnya
welcome datang
congenital bawaan
ingredient bahan
union serikat
tuxedo jas
entitled bertajuk
increasing peningkatan
continent benua
consistent konsisten
right tepat
massage urut
ratio rasio
si sarekat
strange aneh
absolute absolut
population penduduk
monitored dipantau
failure kegagalan
cancelled dibatalkan
nationals berkebangsaan
sheath sarung
was sudah
students muridnya
pillar pilar
following mengikuti
detect mendeteksi
delivering penyampaian
eagle elang
watch ditonton
devices peranti
maybe barangkali
authorized berwenang
bath mandi
cried menangis
teacher gurunya
area areal
wage upah
footprint tapak
palace istana
command komando
entirely habis
inhabited berpenduduk
skillful mahir
memorial peringatan
gravy kuah
hold tahan
basic dasarnya
difficulty kerumitan
chemists kimiawan
exchange pertukaran
submit tunduk
fragrant harum
get diperolehnya
political politis
as seperti
airplane pesawat
five v
consonant konsonan
rejected ditolak
length panjangnya
charm aji
index indeks
variety varietas
patient penderita
chinese tiongkok
allocation pembagian
service pelayanan
left meninggalkan
navigation navigasi
volleyball voli
engined bermesin
pool kolam
always sering
optic optik
beans buncis
borrow meminjam
gate gapura
led dikepalai
electric elektrik
wounded terluka
typical kekhasan
cattle sapi
fortification penguat
any pun
her namanya
break pecahnya
jumping melompat
celebration penyambutan
directorate direktorat
pray doa
unhappiness ketidakpuasan
again lagi
midwifery kebidanan
usage penggunaan
faith iman
governing berdaulat
implemented diimplementasikan
success kesuksesan
exterminated dimusnahkan
cross lintas
chemical kimiawi
emancipation emansipasi
generator pembangkit
programmer pemrogram
offering ditawarkan
moved menggerakkan
increase bertambah
impact berdampak
editorial redaksi
walk berjalan
prepare bersiap
mechanics mekanika
food masakan
description gambaran
illusion ilusi
confidence keyakinan
different beda
treatment pengobatan
operate beroperasi
manufacturing pembuatannya
aligned blok
mountains pegunungan
thermometer termometer
section ruas
then maka
value bernilai
thereupon hatta
exchange bertukar
behind belakang
being mahluk
knowledge wawasan
adaptive adaptif
hold mengadakan
innovation inovasi
mention menyebut
leader pimpinan
orderly tertib
pace laju
chronicle kronik
range rentang
lamentation ratapan
culture budaya
cleaver parang
regarded dipandang
swimmer perenang
traffic lintas
so sekian
refer menunjuk
placed letak
solve memecahkan
sue menuntut
day harinya
actually sebetulnya
defeat mengalahkan
logging penebangan
luminous bercahaya
sitting duduk
group sekelompok
round bundar
sides belah
burrow liang
cocoon kepompong
filter tapis
group regu
material harta
broadcast disiarkan
considered dianggapnya
how bagaimana
perfected disempurnakan
first terutamanya
suspect menduga
rate laju
pointer penunjuk
excellence keunggulan
bright cerah
cork gabus
making menjadikannya
publish memuat
instruction instruksi
slogan semboyan
minute menit
temple kuil
marriage perkawinan
describe menerangkan
examination pengujian
substrate substrat
phenyl fenol
water air
prime prima
stated menyatakan
oppose lawan
attempt berupaya
transparent transparan
subject subjek
also pun
botanical botani
struggle memperjuangkan
ratification pengesahan
theology teologi
simultaneously serentak
ox jawi
repay balas
guide petunjuk
you awak
anarchy anarki
affected terkena
mapping pemetaan
modification perubahan
right benar
exhibition pameran
rejection penolakan
founded ditemukannya
balance seimbang
clover semanggi
preferred disukai
issued dikeluarkannya
then lalu
improvisation improvisasi
wedding pernikahan
posted diumumkan
home kediaman
involve menyangkut
castle istana
clear bening
mix mencampurkan
pilgrim peziarah
coupon kupon
respected dihormati
planet penalaran
follow menyusul
effort upaya
have mendapati
miracle keajaiban
party pesta
frightened ketakutan
heir pewaris
emergence munculnya
all semuanya
oldest tertua
attends menghadiri
drink diminum
effect kesan
team pasukan
tested coba
department departemen
variety keanekaragaman
ministry kementrian
four empat
weakening melemah
invented menciptakan
bodied bertubuh
