will vullnetin
dead vdekurit
compilation hartimin
given jepet
example shembulli
date data
autocephalous autoqefale
device pajisja
treasured çmuar
united bashkimit
synonymous sinonim
name gjergj
alps alpet
nucleus bërthamë
name petro
talked flisnin
governments qeveritë
bad këqija
perhaps ndoshta
scattered shpërndara
exactly saktësi
results rezultateve
same njëjtën
journalist gazetar
positioning pozicionuar
addressed drejtua
fair ndershëm
organizations organizmat
vessels enëve
link lidhja
person persona
ban dëbimin
treaty traktatin
always gjithmone
was gjendej
implement zbatonte
as siç
solution zgjidhje
friend miku
january janarit
fencing rrethimi
telephone telefonisë
play luajnë
centralized centralizuar
george gjergj
considered konsideruar
see shih
agreement marrëveshja
province krahinën
give jepet
works punon
view pikëpamje
villages fshatrave
chess shkaku
albanians shqipes
albanian shqiptarë
still akoma
brought sillte
rise ngritjen
boys djem
exchange shkëmbimit
simple thjeshtë
brazil brazilit
hormones hormone
crucial vendimtare
indefinite pacaktuar
l link
doors dyert
ball topit
ended mbaroi
reports raporteve
architecture arkitekturë
newton njutoni
phenomenon fenomen
arm krah
leaders prijësit
events ngjarjet
common rëndomtë
ancestral parëve
directions drejtimet
so-called ashtuquajturën
molecules molekulat
canton kantoni
or ascii
rails binarët
forms formon
like donte
rumors zëra
contributions kontribute
additional plotësuese
clothes veshje
german gjermanishtja
star yll
fibres fijet
management administrimi
existence ekzistencë
within brenda
old vjeter
strength forcën
summers verëra
face has
types llojeve
placed vendosura
site faqe
traditionally tradicionalisht
functioning funksionimi
chose zgjodhën
equal barabartë
gave fali
scale shkalla
lines vija
represented përfaqësuar
blood gjak
livestock bagëtive
israeli izraelit
density dendësi
empty zbrazët
neck qafa
program programet
repeated përsëritet
christ krishti
river lumi
contain përmbajnë
resistance qëndresa
design hartimin
upper sipërm
detection zbulimit
demonstrating vërteton
held mbaheshin
romans romakëve
publicly botërisht
did bëri
parties palëve
source burimit
peaceful paqësor
related lidhur
olympic olimpike
patriots patriotët
professor prof
soul shpirti
learning mësimin
macromolecule makromolekula
style stilit
washed laget
nikola nikolla
registration regjistrimit
advertising reklama
poetry poetika
neptune neptuni
mammals gjitarët
strong forte
killed vriste
mr. zotin
grave varrit
gift dhuratë
provided parashikuar
istanbul stambolli
variation varianti
extension shtrirjen
basin pellgun
issuance lëshimin
mountains male
follow ndiqnin
spain spanja
work punoj
call quajnë
traffic komunikacionit
held zhvilloi
protocol protokolleve
southern jugor
students nxënës
future ardhmen
confirmed provuar
vilayet vilajetit
enjoy gëzojnë
contributions kontributet
destroyed shkatërruese
illustrate ilustruar
communities komunitetet
glory lavdi
thread fije
order qëllim
registration regjistruar
quantity sasinë
mathematical matematikë
resolved zgjidhen
society shoqëria
do bëjmë
disease sëmundja
recognition njohjes
complete plote
equatorial ekuatoriale
crossing kalimit
mosque xhami
photo fotografia
closely afërmi
if qoftë
emphasize thekson
solution zgjidhja
first parin
house shtëpi
traditions traditat
grave varr
axis boshti
carriers bartësit
so kaq
job punë
ottoman otoman
depending varësisht
completed përfunduar
campaign fushata
typical tipike
connection lidhjeje
buildings ndërtesa
witness dëshmojnë
allowed lejuar
flocks tufa
versus vs
holes vrimat
chose zgjodhi
damaged dëmtuara
york jorkut
i jem
daughter bija
computation njehsimin
cycle cikli
statistic statistike
theaters teatri
as meqë
hall sallën
schools shkollat
analogue analoge
device mjet
diversity larmi
wilayah vilajetin
campaign fushatën
body organi
ideas idetë
periodic periodik
wants dëshiron
compounds përbërës
formally formalisht
interest interesin
edge skaj
objects objekte
average mesatare
cultures kulturave
include plotësojë
feet këmbë
acted vepronte
activity veprimtarisë
send dërgonte
regular rregullt
activity aktivitetet
presents paraqet
existence qenien
set bashkësi
clouds retë
kosovo kosova
gave dhanë
fate fatin
received morën
genes qenë
leading kryesorë
rulers sundimtarëve
territory teritori
provided sigurohet
report raportin
writer shkrimtar
value vlerës
subjects lëndët
reduction ulje
preserve ruajnë
economy ekonomikisht
low ulët
neighbor fqinjë
takes ze
appearance dukje
disorder trazirat
villagers fshatarët
science dituria
marble mermeri
epirus epirit
ball topin
time radhe
recovery shërimit
injured plagosur
republic shkronjat
birth lindjen
treaty traktatit
cause çështjes
seen shihet
principalities principatave
authors autorë
month muajin
municipal bashkiak
strong forta
church kishat
place zhvillua
enables mundëson
stones gurë
mainly kryesisht
religions fetë
front përparme
declare shpall
parliament parlamentin
meaning kuptimi
oceanic oqeanike
influence ndikime
conflict konfliktin
take marr
monaco monakos
gamma gama
understand kuptuar
did mirpo
regulate rregullimi
protocols protokollet
paradise parajsa
major madhore
their tyre
features veçoritë
type tip
muscular muskulor
placing vene
electromagnetism elektromagnetizmi
leaders krerët
capitalist kapitaliste
rome romes
that së
beech ahu
centuries shekujsh
memory kujtim
current rrymë
distinguished shqua
surname mbiemri
aims synon
aid ndihma
clean paster
measurement matjen
island ishull
called ashtuquajtur
blocked penguar
defended mbrojti
component përbërës
sign shenja
widely gjerësisht
public publike
present tanishme
right duhur
are janë
method metodën
confidence besim
spring pranverën
address adresave
public publikut
see shikoni
banking bankar
presented paraqitur
person personi
required kërkohet
know dihen
tigers tigrat
unified njësuar
due përshkak
letters letra
angle kënd
october tetor
month muajit
jr. jr
forbidden ndalua
japanese japonishtja
through permes
november nëntori
university universitetin
third trete
from prej
regions rajonet
label emërtim
justice drejtësisë
get hynte
school shkollore
understand kuptojmë
be qenë
easter pashkëve
house shtëpisë
be jeni
wild egër
absence mungesë
minerals minerale
rites ritet
learn mësojmë
student studentore
obstacles pengesa
planet planetin
serbs serbët
parliament parlamentit
light drites
zone zonë
cold ftohta
close afërt
determines përcakton
code kod
decisions vendimet
merge shkrirë
reduced zvogëluar
and dhe
hydrogen hidrogjeni
technologic teknologjik
nitrogen azotit
birth lindjes
including përfshire
open hapte
vehicle mjeti
feels ndjenjat
article artikullin
serious veprën
progress përparimi
center qendër
composed perbere
battles betejat
consumption konsumit
stem kërcelli
although megjithëkëtë
enable mundësojnë
monument monumenti
field fushën
teaching mësime
go shkonte
anti-ottoman kundërosmane
capacity kapaciteti
floor kat
ask pyet
molecule molekulën
medieval mesjetare
athens athinë
member deputeti
scaffolding skela
polytheistic politeiste
school shkollës
for par
registration regjistrimi
georgia gjeorgjia
similar ngjajshme
find gjejmë
perhaps mbase
individuals individë
long gjata
created krijoi
greek greqishten
raised ngriti
compared krahasuar
horizontal horizontale
free lirë
empire perandorisë
commands komanda
mineral mineralit
health shëndetësore
rule udhëhoqën
mediterranean mesdheu
friendship miqësi
protein proteina
transport transportin
expressed shprehën
heaven qiell
dimensions përmasa
international ndërkombëtarë
term termi
depth thellësi
voice zërit
cycle ciklin
provision furnizimi
livestock blegtoria
pertain takojnë
components përbërësit
byzantine bizantine
news lajmeve
given jepej
received priti
geological gjeologjike
economy ekonomike
community komunitetit
talk flisni
hello tung
pacific paqësor
voluntary vullnetare
immediately menjëherë
productivity prodhimtaria
first pari
cranial kafkës
seals nënshkruan
property pasuria
take zinte
equivalence ekuivalencës
towns qyteza
lose humbasin
diseases sëmundjeve
urea urë
be jene
denomination emërtim
school shkollën
poem poemë
review shqyrtim
revolution revolucion
proud krenar
stage fazë
institut instituti
stance qëndrim
be jem
differential dalluese
gold artë
stem buron
protective mbrojtëse
left lëna
encourage nxit
sick sëmurët
evening mbrëmje
vast dërmuese
income ardhura
informatics informatika
relatives afërmit
stock aksioneve
surface sipërfaqësore
sentence fjali
orthodox ortodokse
electrons elektronet
development zhvillimi
methods mënyra
band brezin
teaching mësimi
councils këshillat
begin fillonte
argentina argjentinës
sci inxhinieria
epoch epoka
learning mësimit
opponents kundërshtarët
lower ultë
memory kujtesa
same njëjtës
walking këmbë
homer homeri
lipid lipidet
waters ujërat
sons bijtë
decide vendosin
transport transportit
inhabited banu
cleric klerit
holiday festa
voice zërin
field fushës
movement levizje
name wilhelm
games lojra
headquarter selinë
observers vëzhguesit
true vërtete
residents banorët
third tretës
third treta
declaration deklarata
provided siguroi
caused shkaktohet
individual individ
patriot atdhetar
carbon karboni
printing shtypje
style stilin
roles role
eat hani
articles artikujt
beat mundi
fewer pakë
allah allahut
zakat zekati
sun dielli
undertake përsipër
want dua
rainfall reshjet
all tërë
map harta
advice këshilla
continents kontinentet
claim pohojnë
topic temë
mouth grykën
detection zbulimin
greece greqia
poets poetë
will do
equations ekuacionet
ordinary rëndomtë
livestock krerëve
gallery galeria
port portën
flowers luleve
children fëmija
protocol protokolli
did bënë
road rruga
present prezantoi
daughter vajza
river lumor
gasses gazrave
client klientit
buddhism budizmi
regions rajone
different ndryshme
go vesh
acute mprehtë
down zbritur
settlements vendbanimeve
measure masën
germ embrion
tissue indit
chosen zgjodh
energy energjinë
show shfaqen
washed lara
mountain malorë
exchange këmbimit
if nqs
planet planetit
commercial tregtar
december dhjetor
first parit
given jepen
adjacent ngjitur
pancreas pankreasi
molding derdhur
liberation çlirim
literature literaturës
thee ty
punch grusht
englishmen anglezë
writing shkruarit
magnificent madhështore
achieved arritur
traditional tradicional
powerful fuqishme
cold ftohte
serbian serbisht
meeting takimi
state shtetërorë
melted shkrirë
time kohor
directed drejtonte
divided ndahej
carried zhvilluan
says tha
valley luginës
power pushtetit
tribal fisnore
hitler hitleri
attacked sulmuan
regional regjionale
finite fundme
water ujit
workshops punishteve
exception përjashtime
surviving mbijetuar
transmitting transmetimin
right drejtën
territories territoret
man njeriun
square katrore
stop ndalur
discontinue ndërprerje
data dhëna
slavery skllavërisë
front frontit
enjoy kënaqet
parallel paralele
seen shihej
use përdorim
mecca mekkës
croatia kroaci
fed ushqyer
party partinë
messenger dërguari
increase shtimi
unity bashkimit
brought solli
binary binare
copper bakri
land tokes
meet plotësojë
heritage trashëgimisë
feels ndjehet
lies qëndron
bad keqe
period periudhës
open hapur
close afërm
organization organizim
took morën
military luftarak
egg veza
use përdorin
centers qendrave
podujevo podujevës
stability stabilitetin
educational edukimi
switzerland zvicrës
stay qëndrimit
universe universit
give lëshon
skills aftesi
turks turqit
city qytetit
battle betejën
price çmimi
court gjykata
railways hekurudha
back kthehet
pots enëve
filled mbushur
wins fiton
refer referohet
issue nxjerrë
wealth pasuritë
road rruge
security sigurimit
then atëherë
remain mbesin
april prilli
cloning klonimit
starting fillimi
class klasën
wind ere
proclaimed shpallën
place zhvillohej
reproductive riprodhues
products prodhime
eagle shqipja
areas trevat
votes votave
blast kartë
position pozicion
half gjysëm
morning mëngjes
machine makinë
scotland skoci
philip filipit
techniques teknika
cancer kancerit
affect ndikojnë
apple molla
terrorist terroriste
decades dekadave
know njohim
cross kryq
mainland kontinentale
line linjë
completion përfundimi
outline vijëzuar
muslims myslimanë
spirits shpirtrat
bullet plumb
entry hyrja
pillars shtyllat
space hapësire
legislative legjislative
diversified shumëllojshme
consciousness ndërgjegjes
mechanic mekanike
goals qëllimet
approximately afërsisht
atlantic atlantik
base bazës
season sezonit
scull kafka
people persona
respective përkatëse
author autorë
armed armatosura
become bëheshin
cell qelizore
fish peshkut
basis bazës
european evropiane
cars makina
western perëndimorë
protestant protestante
go shkojë
products prodhimet
producer prodhues
hypothesis hipotezë
chile kili
canon kanuni
egyptian egjiptiane
cases rasteve
state gjendjen
municipal komunale
around rrotull
commercial tregtare
professional profesionale
abstract abstrakte
florence firence
left larguar
through neper
pronounced theksuara
theories teoritë
amount shuma
celestial qiellor
formation formacione
gathered mblodhi
engineering inxhinierisë
between midis
stability stabilitetit
prohibited ndaluara
region krahina
often shpeshtë
long kohësh
climate klimë
poems vjersha
history histori
helpful dobishëm
natural natyrore
second dytë
people njerzit
knowledge dituri
women gruas
religious fetare
symbol simbolin
ages kohëve
tropical tropikale
holistic shenjtë
hit goditi
age vjeçare
majority shumicës
lead plumb
player lojtari
biography biografi
dioxide dioksidit
successful suksesshme
stamp vulën
characterized karakterizohet
class klasës
chose vendoste
benefited përfitoi
above lartpërmendur
railway hekurudha
volume volumi
criss-cross kryq
is bëhet
july korrik
rock shkëmbim
bitola manastiri
aristotle aristotelit
it ia
bacteria bakteriet
method metodës
achieved arrihet
right drejtës
gohan gohani
natural natyrale
protected mbrojti
personal vetjake
round rrumbullakët
says thotë
further mëtejshëm
indirect indirekte
burned dogj
iraq irakut
leather lëkurë
evidence dëshmi
11 xi
together bashke
construction ndërtim
ibrahim ibrahimi
daily përditshëm
wings kryhet
adriana ardianëve
another tjetra
knowledge dije
personification nuk
enterprise ndërmarrje
identifying identifikimi
resident banojnë
convey përcjellë
always përherë
view shiko
forums shqiptarëve
by duke
side anën
fourth katërt
formula formua
line linjës
statute statut
deer kaprolli
distinction dallimi
aspect aspekti
money parave
threshold pragun
theoretical teorike
client klient
perspective pah
lakes liqene
shown tregua
stated përmendet
final finale
organised organizuan
reaches arrinë
autonomist autonomiste
regions trevave
found zbuluara
expedition ekspeditës
pigeon pëllumbi
accused akuzuar
played luajti
brain tru
sometimes nganjëherë
waves valët
fleet flotës
achievement arritjen
alphabets alfabeteve
risk rrezikun
same njëjti
rule rregull
adults rriturit
directory drejtori
environment mjedisit
leeks portreti
university universitetit
clubs klubet
space hapësira
caused shkaktuara
dardanian dardanëve
establishment ngritjen
reached arritën
emperors perandorëve
nation kombeve
exterior jashtëm
pancreas pankreasit
oath betimin
else vec
commission komision
sector sektori
speed shpejtësi
jesus jezusit
motion levizjes
favorable favorshëm
synthetic sintetike
can mundë
mostly kryesisht
poems poezitë
found gjendjen
left larguan
additional shtesë
fortified fortifikuara
measurement matja
council këshilli
match ndeshje
responded përgjigj
evidence prova
technic teknik
takes merren
descriptions përshkrimet
included përfshihen
expedition ekspedita
relationship relacioni
calling thirrje
alcohol alkoolit
bolt rrufe
located vendosura
that saqë
wine verë
homes shtëpive
anthem himni
roman romakë
symptoms simptomat
yard kantieri
insurrections kryengritjet
perfect përkryer
dardanians dardanëve
do bëjë
felt ndjehet
york jork
lead çojnë
people popull
minute minuta
poland polonia
neighbour fqinjë
twelve dymbëdhjetë
version verzioni
opened hapën
union bashkimi
socalled ashtuquajtur
greek greke
spirit frymë
low ultë
frame kornizë
body organ
our tone
enemy armiku
percentage përqindje
elevation ngritja
large medha
commodity mall
contradict kundërshtojnë
declare shpallte
self-determination vetëvendosje
delegation delegacioni
decorations zbukurime
thinks mendon
bring sillnin
majority dërmuese
love dashurinë
formation formimit
allowed lejoi
constituted përbënte
tiger tigri
macroscopic makroskopike
italy italia
castles kështjella
vienna vjena
reference referimi
also poashtu
euro euros
use shfrytëzohet
cemetery varrezat
importance rëndësia
society shoqërie
showed tregoi
elected zgjodh
matthew mateu
car makinës
july korriku
bristle ngrihet
you jush
principle parim
description përshkrimi
distinct dallueshme
aim synimi
born lindën
wines verërat
moment momentin
shiites shiitët
settlement vendbanime
noun emrit
see shikojmë
all mbarë
images imazhe
meaning kuptimit
ships anije
education edukimi
city qytetin
prophetic profetike
meanings kuptime
gave kushtoi
expenses shpenzimet
project projekt
july korrikut
i kisha
remains mbetet
car makinave
version versione
cult kult
prisoners burgosurit
read lexo
german gjerman
care kujdesej
lived jetuar
century shekulli
cultivation kultivimi
leader udhëheqësi
proper duhur
studies studimesh
power pushtetin
politics politikës
engineering inxhinieria
time kohë
iran irani
promoted promovuar
versions versionet
relate lidhin
resolve zgjidhet
usage shfrytëzuar
reason arsyeja
too veçohet
peak kulmin
water ujin
colonel kolonel
his tijë
women femërore
rooms dhoma
land token
your tua
achieve arrijë
city strugës
standards standardeve
activity aktiviteteve
like donin
area zonën
around rreth
networks rrjeteve
period periudhën
fifteen pesëmbëdhjetë
covered mbuluar
center qendra
plant uzina
join bashkuar
hague hagë
him atij
english anglez
asked pyeti
telecommunications telekomunikacioni
minimal minimale
pond pellgun
contemporaneous bashkoheshin
roma rome
exceed kalojë
fact faktin
story tregimi
globe rruzullit
runs shkon
nucleic nukleike
took mori
chancellery kancelari
honor nderin
holds mbanë
feeling ndjenjë
luigi luigj
antiquity lashtësi
borrow huazuar
holdings zotërimet
attack sulmonin
plays luanin
atoms atomet
see shihni
political politik
rule sundimi
seven shtatë
valley luginën
front frontin
us na
skates partinë
struga strugës
years vjeçare
kamal qemalit
italy italisë
extended shtriheshin
proof provë
export eksporti
phone telefonisë
political politikë
basin pellgut
traction tërheqje
our ynë
radiation rrezatim
euro euron
cast hidhet
divided ndahen
maximum maksimum
democracy demokracisë
height gjatësinë
national kombetar
presidential presidenciale
members anëtarët
registration regjistrimin
employed punësuar
improving përmirësimin
radiation rrezatimi
influence ndikimin
arises lind
global globale
tribe fisi
functional funksionale
stay qëndronte
basis bazën
purpose synimet
work vepër
tribe fis
found gjinden
consideration shqyrtim
address adresë
believers besimtarëve
war lufte
bee bletëve
version versioni
formulated formuluar
result pasoje
members pjesëtarë
lyrics këngës
so-called ashtuquajtura
replaced zëvendësohet
exile mërgim
environments ambiente
heavily rëndë
large medhenj
monday hënë
usual zakonshëm
exploit shfrytëzojnë
college kolegjin
itself vete
existing ekzistuese
film filmike
volcano vullkanik
fill mbushin
bodies trupave
say them
comes vjen
while ndersa
days ditësh
expeditions ekspedita
heating ngrohje
barbarians barbarë
fleet flotën
set caktuar
sports sporte
country vendi
medium mesme
continue vijuan
put vendos
fact faktit
started fillonte
geography gjeografia
removed hoqi
slaves skllevërve
seen shihen
her asaj
inscription mbishkrimi
ongoing vazhdimësi
russia rusi
summers verërat
beside përkrah
academic akademik
lion luan
station stacioni
hidden fshehur
power fuqine
directed drejtoheshin
powers fuqite
campaign fushatës
authorities autoriteteve
bring sjell
voted votuan
states gjendjet
neolithic neolitike
cities qytete
fighting luftimeve
bright ndritur
decades dekada
belong takonte
meeting takuar
hot nxehtë
show tregonin
possibility mundësinë
collection mbledhjes
plural shumës
catch kapin
same njëjta
led kryesuar
forest pylli
platform platforma
pass kalonte
do bëni
fold fishta
roe kaprolli
reflecting reflektuar
interesting interesant
flame flaka
politics politikën
move lëvizin
command komanda
set vu
telephony telefonisë
seashore bregdetit
research kërkime
battle betejës
liberation çlirimtare
early herët
formation formimin
societies shoqëritë
technical teknik
form trajtë
informations informatat
steppes stepat
universe gjithësisë
radiation rrezatimit
university universiteti
submission nënshtrohen
meaning kuptimin
banned dëbuar
volcano vullkani
serve shërbente
kinematics kinematika
exist ekzistonin
suburb periferi
insurrections kryengritjen
found ndeshen
stop ndalonte
mitrovica mitrovicë
race gara
groups grupe
species specie
analysis analizën
include përfshijnë
articles nënë
kla uçk
killed vranë
typing shtypja
with më
clothes rrobat
share ndajnë
movies filma
mount malit
gyration rrotullimi
batten binar
forums shqiptareve
absence mungesës
year vitit
princess princesha
gaffe qafës
remain mbeten
philosophical filozofik
objects objektet
volcanic vullkanik
jankovic elezit
business bizneseve
bulgarian bullgari
my tim
rate shkalla
macedonians maqedonët
exercised ushtroi
force fuqi
already tashmë
subsequent mëvonshëm
heroic heroike
city vlora
atoms atome
ground terrenin
severe rrepta
seventeen shtatëmbëdhjetë
similar njëjtë
description përshkrim
regardless pavarësisht
ingredient përbërës
energy energjie
control kontrolli
call quajmë
made bëhej
wife gruaja
together bashku
surrounding rrethinë
forward përpara
parts pjesët
fantastic fantastike
details detaje
vlora vlorë
characteristics karakteristikave
out nxjerrin
decision vendimit
war lufta
consists përbëhet
good mirë
identity identitetin
purpose qëllimit
market tregun
deal merren
garlic hudhra
encounter ndeshen
parents prindërve
soviet sovjetike
whatever çfarëdo
appropriate përshtatshme
people njerez
knew dinin
policies politikat
information informacionet
bey beu
selection zgjedhjen
subjunctive lidhore
environment mjedisi
collection mbledhjen
romanesque romane
council këshill
stages faza
oppression shtypjen
business tregtisë
more shumë
solutions zgjidhjet
writes shkruan
length gjatësia
study studimit
value vlerë
use perdorimi
speaks flet
seemed duk
christians krishterët
agatha agata
opening hapjen
mechanism mekanizma
prejudice ceno
company kompanive
chameria çamëria
dwelling vendbanimi
functions funksionimin
grammatical gramatikore
overhead indirekte
submitted dorëzuar
helped ndihmonte
practical praktikë
function funksionon
notes shënimet
verb folja
identify identifikohen
need nevojitet
out yje
phase fazë
nuclei bërthama
romanticism romantizmit
draw tërhequr
deal merrej
phenomena fenomenet
professional profesional
congress kongresi
color ngjyre
issue çështë
cuba kuba
ready gati
resources burimet
stars yjet
information informacione
survive mbijetojnë
cytoplasm citoplazma
directed drejtuan
be bëhen
territories territore
you ju
work puna
einstein ajnshtajni
amidon amidoni
brothers vëllezërve
features tiparet
pakistan pakistani
makes bën
known shquhet
mandate mandat
leads udhëheq
unfair padrejtë
witchcraft magjisë
sciences shkencave
photo fotografinë
milk qumështit
termite termit
fingers gishtave
interpretation interpretim
to tek
pastures kullota
counties qarte
tax taksa
consciousness vetëdije
built ndërtuar
decline rënie
tirana tiranës
norms normave
social shoqëror
devil djalin
highland malësia
women femrave
years vjetësh
type lloji
eat hanit
consequences pasojat
case rast
original origjinal
tradition tradite
soldiers ushtaret
shiite shiit
elsewhere gjetkë
had vështruar
action veprimin
raised ngrihen
demolition prishjes
work punës
communists komunistëve
continue vazhduar
percentage përqindja
transferred transferuar
killed vritet
offered ofruar
ice akullit
skender skënderajt
view synim
grater rende
kaon kaonët
depart nisën
british britanik
patriarchate patrikana
skin lëkurës
formula formulën
appointed emërua
ministry ministrinë
scene skenë
purpose qëllim
defeat disfatës
world botrore
responses përgjigjet
relationships marrëdhënieve
do kryej
secretariat sekretari
so kështu
become shndërruar
elements elementë
this këtij
action veprim
joined bashkua
drinkable pijshëm
eye syve
fascist fashiste
points pikat
however sado
be bëhet
stringent rrepta
regime regjimi
nobles parisë
computer kompjuterike
impacts ndikime
games lojërave
alexander aleksandër
feature tipar
place zhvillohet
commanders platonit
territories trevave
his veta
dictionary fjalor
is është
generous bujar
known shquhen
seek kërkoi
studies studion
everyone gjithëve
personalities personalitete
trained trajnuar
sea deti
holidays pushime
direct drejtpërdrejtë
put futur
franciscan françeskane
area zonë
acts vepron
sports sportit
plains rrafshinave
discipline disiplina
city hasit
growth rritjen
christian krishtera
austria austrisë
exactly pikërisht
deserved merituar
again prapë
academic akademike
visit vizituar
year vitin
ottoman osmane
sheets fleta
apollo apoloni
secret fshehtë
flags flamuj
detected zbulohet
records shënimet
lives jeton
science shkencën
remix sllav
games lojërat
of ë
pedagogue pedagog
sought kërkonin
john gjoni
prose prozë
there ekzistojnë
related ngjashme
color ngjyra
mount malin
discovered zbulua
achieves realizon
components komponentë
fixed fiksuar
maximum maksimale
broke theu
economy ekonominë
chameria çamërisë
lands trojeve
needed nevojitet
ministry ministria
energy energjetike
eurovision eurovizionit
tissue indeve
desire dëshira
symbolic simbolik
interpret interpretuar
condition kusht
hunger uri
geography gjeografik
biochemical biokimike
uses perdor
being qene
verb folje
responding përgjigjej
linguistic gjuhësore
caused shkaktuar
minorities pakicat
identification identifikimi
tradition tradita
from dalë
painting pikturës
mandate mandatit
closed mbyll
sports sportiv
were ndodheshin
stone gurin
lead plumbit
skills aftësi
built ndërtuan
currents rryma
progressive përparuar
sees shikon
rot rob
issue çështja
museum muzeut
specialized specializuar
figures figurat
complex komplekse
next ardhshme
classes klasa
prophet profeti
illness sëmundja
certificat certifikata
certain sigurtë
tectonic tektonik
participant pjesëmarrës
except përpos
meet përmbushur
exceptions përjashtime
issues çështjet
enable mundësuan
square sheshi
fought luftonin
reason arsyes
search kërkohet
orange portokallit
revelation zbulesa
look shiko
build ndërtimin
about reth
optic optikës
crucial vendimtar
areas viseve
express shprehte
temperature temperatura
microscope mikroskop
sufferings vuajtjeve
led udhëhoqi
conference konferenca
russian ruse
stalk kërcelli
croatia kroacisë
convinced bindur
ways mënyra
was u
construction ndërtimet
tour trurin
inertial inerciale
indirectly tërthorazi
goethe gëtes
banned ndalua
growth rritjes
textile tekstilit
movie film
relations marrëdhëniet
representatives përfaqësuesit
kill vriste
leaves gjethet
delights kënaqet
macedonia maqedonia
travel udhëtimet
called quajtën
cards letra
formation formimi
human qeniet
dissemination përhapje
enough mjaftë
ending përfundimit
activities aktivitetet
killed vrau
out jashtë
brother vëllain
military luftarakë
attitudes qëndrimet
take merrte
greeks grekët
george gjergjit
view shihni
except përveq
chamber dhoma
university universitar
complete komplet
evil keqes
changing ndryshonin
independence pavarësisë
appointed zgjidhet
your yt
link lidhte
wood dru
come vijnë
polish polake
claims pretendon
wolf ujku
jewish çifute
cultural kulturor
borrowed huazuara
science shkencës
christian krishtere
accept pranonin
testimonials dëshmitarë
concepts koncepteve
flow rrjedh
issue lëshimin
alexander aleksandrit
phenomena dukuritë
included përfshihet
thy jote
problems problemeve
recognized njiheshin
asked kërkuan
vegeta vexhitën
away tutje
constantinople konstandinopojës
state gjendje
discs disqe
changes ndryshimet
rough ashpër
students studenti
monastery manastir
victory fitores
municipalities komunat
thoughts mendime
business biznesit
plane avionëve
revolutionary revolucionare
morality moralit
telescope teleskopët
club klub
separation shkëputjen
position pozicioni
works punimet
destroyed shkatërruar
side anës
task detyrën
faith besë
integration integrimi
viewed shikon
roman romak
head krye
simultaneously njëherit
leaders krerëve
paper letrës
milanese milan
appearance paraqitja
are ndodhen
sensation ndjesi
points pikave
sent dërguar
invasions dyndjeve
legal juridike
deciduous qumështit
emblem emblema
illyrians iliret
way mënyrë
appoints emëron
back shpinë
nations kombeve
skin lëkura
fall binin
violent dhunshëm
asia azisë
edge buzë
destroyed shkatërrua
celebrity famshëm
give hoqi
relevant përkatëse
homeland atdhe
reject hidhet
rocks shkëmbinjtë
caused shkaktuan
profits përfitimet
honest ndershme
signature firma
identity identitetit
undertaking ndërmarrje
montenegrin malazeze
have kanë
die vdes
purpose qëllimin
plains rrafshin
japan japonisë
complex kompleksi
residence vendbanimit
about afërsisht
sensitive ndjeshme
what shka
letter letra
nervous nervore
risk rreziku
references referenca
vapor avulli
titles tituj
library bibliotekë
democracy demokraci
popular popullore
paper letër
important rëndësishme
diplomatic diplomatik
wood druri
mode mënyrës
areas fusha
descriptions përshkrime
among mesin
cosmic kozmike
issue çështje
went shkoi
atmosphere atmosfera
none asnjë
remain mbetej
put vënë
used përdorur
continent kontinenti
has paska
developments zhvillimeve
specific specifik
father at
nothing asgjë
suffered pësuan
rely mbështetej
established themeloi
effect efekt
enable mundësuar
trial gjyqit
distribution shpërndarjen
combative luftarakë
tracks gjurmët
climate klimatike
insular ishullore
election zgjedhja
had kishin
surrounded rrethuar
collaborated bashkëpunuar
empire perandorive
opening hapjes
coincides përkon
accountants llogaritësit
children fëmijët
labour punëtore
article artikull
spread shpërndarja
made bëhen
internal brendshme
possible mundur
law ligj
foundation fondacioni
factors faktorët
beginning zanafilla
before përballë
loved dashur
wife shoqja
yeast maja
throne fron
physical trupore
at kah
seem ngjan
presented paraqitura
burning djegur
direction drejtimet
rebels kryengritësit
information informative
page faqen
died vdiq
mineral minerare
category kategori
given dhanë
church kishtare
had kishim
birds zogjtë
season sezonin
astronomy astronomia
begins fillon
easy lehtë
issue lëshonte
consists perbehet
agriculture bujqësisë
aimed synonin
at ora
academy akademinë
to t´u
show tregojnë
hellenic helene
topics tema
rings unaza
expansion zgjerim
nene nënë
renaissance rilindjes
dictator diktaturës
money lekë
island ishullit
appropriate posaçme
action veprimit
branches degët
assembling grumbulluar
destroyed shkatërruan
move lëvizë
federations federatat
factor faktorë
information informacioni
joy gëzim
muscle muskulore
legendary legjendar
terrorism terrorizmi
fail faik
governing qeverisës
birds shpendëve
game loja
death vdekja
rare rrallë
visited vizitoi
technical teknikë
threshold prag
power fuqisë
imperial perandorak
who cilët
sent dërguan
physics fizikë
implementation zbatim
reasonable arsyeshme
poem poemën
decisiveness vendosmëria
arrived mbërritur
vilayet vilajet
playing luajtur
sulfur sulfurit
national kombetare
declare nxori
barely mezi
work punën
holy shenjta
technology teknologjike
scaffold skela
trade tregtia
interval intervali
pec pejës
balkans ballkan
final përfundimtare
following vijim
grain drithërave
greece greq
verbs foljet
suffering vuajtjet
believing besuar
short shkurtë
castle kështjellën
entry hyrjen
