standalone samostatný
brands značiek
world svetu
river rieke
accepting prijatia
visited navštevoval
moved presťahoval
shows prejavuje
million miliónov
latin latinský
computer počítačový
yellow žltá
worker pracovníci
discovery objav
brothers bratia
clock hodiny
imagine predstaviť
schools školách
eye okom
lipid lipidov
exactly presné
founding založenie
metro metra
began začalo
books kníh
plates platní
vehicles vozidlá
reads číta
beauty krása
transport doprava
growth vývin
some niekoľko
chapels kaplnky
cooperating spoluprácu
top vrchu
punk punku
tallinn talianska
principles zásad
silver striebro
hardly ťažko
basic základný
center centra
termination ukončenie
substances látok
here tú
distance vzdialenosti
using používaním
clothes oblečenie
feature vlastnosť
such takomto
accountancy účtovníctvo
share podiel
ecclesiastically cirkevné
ticks kliešťovité
forces silami
god božej
declared vyhlásila
built postavil
had mal
high vysoko
john ján
of časti
write zápisu
sometimes niekedy
literature literárnej
tower veža
often často
colours farbách
world hospodárskej
holy svätého
role úlohu
history história
crowd dav
expected predpokladalo
values hodnôt
a určitej
just jednoducho
cosmic kozmickej
dali dalí
track trate
change menia
higher vyššia
heart srdce
created tvorila
word slovom
derivation derivácia
networks sieťach
splint látka
are sme
opposite naproti
treatment liečbu
window okná
process procesom
level úrovne
geometry geometria
many veľa
occupied obsadené
built zložená
was bola
building stavebné
saw videli
have majú
standards normy
him ňom
romanticism romantizmu
letters písmom
no nemajú
switzerland švajčiarska
dimension rozlohy
between prelome
theater divadlá
albania albánska
fully plne
determine určil
ecology ekológia
earthquake zemetrasenie
ruler panovníka
small malým
longer dlhší
equation rovnice
german nemeckým
weak slabé
version verziách
catastrophic katastrálne
industry odvetvia
measurements miery
moment momentálne
produced vyrábali
religious náboženský
solar slnečný
belts pásov
considered považoval
continued pokračovali
give dať
loses stráca
defined definovaná
season obdobím
basic základnou
opponent súpera
shots náboj
related súvisiace
privilege privilégium
phenomenon javom
curve krivka
divine boží
thunder hrom
signs príznaky
previous predchádzajúcich
assume predpokladá
possess vlastní
disadvantage nevýhodou
used využil
orbital obežných
bottom dolnej
smoke dym
coin mincí
decreases klesne
center centre
degrees stupne
therefore preto
meeting stretnúť
bang tresku
transporter transportér
transport dopravný
completely úplne
france francúzsky
entry vstupe
it ním
determines určujú
electron elektrón
university univerzite
technical technická
long dlhý
nobility šľachta
medieval stredovekého
vastly obrovský
golden zlatá
aluminium hliník
synagogue synagóga
number číslom
legions légie
river rieka
electronic elektronických
appeared objavila
twelve dvanásť
deserved zaslúžil
generals generálov
natural prirodzeným
reference zmienka
clean čistého
plates platné
campaign kampaň
thing vec
prophets prorokov
unification zjednotenie
command velenie
most najdôležitejšie
future budúceho
castles hradov
granted udelil
attended navštevoval
attacks útoky
exclusively výhradne
progeny potomkovia
blood krvné
removing odstránenie
nation národov
woods lesy
shape tvar
direct priame
frequency frekvenciou
space priestor
look pohľad
speech prejav
sea morskej
requirements dávky
c kontext
merger fúzia
become stalo
she ona
top vrchnej
able schopný
stop zastaví
oxide oxidom
person osobnú
prison väzení
road ceste
newer novšie
ocean tichého
sun slnečnej
fashion móda
stage štádium
independently nezávislé
terrorism terorizmus
soviet stoviek
history histórie
infection infekčné
investigation skúmanie
organs orgánmi
attempt pokusom
polish poľská
remains ostane
focused zamerané
nurturing výchova
property vlastníctva
czechoslovakia československo
ox volá
jan jánom
oestrus ruje
materials hmôt
next ďalšom
works funguje
acts vystupujú
loss strata
tattoo tetovanie
other ostatní
disturbance poruchy
in y
move ťah
shore breh
move pohybu
angle uhla
requirements požiadaviek
bar látku
tragedy tragédia
standing postavenia
geometry geometrie
could dokázal
fifth piata
memorial pamätné
cattle dobytka
transferred prenášajú
material materiálu
critics kritiky
industry priemyslu
bitch suky
possibility možnosti
contributed prispela
western západné
tower veže
ins iný
circuit okruhu
profits zisky
medias média
construction výstavbe
refused odmietal
professional odborná
higher vyšším
sunny slnečného
human ľudská
weapon zbraň
israel izraela
beginning počiatku
adjacent susedí
left vľavo
carola karola
memorial pamätná
paradoxically paradoxne
showed ukázalo
old starý
hours hodín
german nemeckého
began začali
upper horného
means prostriedkami
perilously nebezpečné
studies štúdia
match zhodujú
next nasledujúci
country štáte
main základná
entered vstúpil
songs piesní
prevents bráni
every každé
characteristic charakteristické
output výstupné
global globálneho
special zvláštne
researches výskumov
defence obranu
occurred došlo
symbols symbolov
iceland islande
what aký
heat tepelne
dust prach
alive živé
renaissance renesančná
description opis
nature podstata
advanced postúpili
unambiguously jednoznačne
contact styku
democracy demokraciou
arise vznikajú
public hromadnej
used nepoužívajú
responsive reagujú
physical fyzikálnych
differentiate odlíšiť
cultural kultúrny
oil ropné
top horného
extremities končatiny
examples príkladmi
since keďže
fuels palív
danish dánska
greenland grónska
nitra nitrianska
michal michala
physical fyzické
pods pôdy
directions smery
marine morskej
essentially podstate
email emailových
epoch éra
hinduism hinduizmus
berlin berlín
gruidae žeriavotvaré
justice dvora
volcano sopka
second druhom
rings prstencov
necessary nevyhnutná
high vysokých
street ulica
east východu
welfare blaho
hockey hokej
serial seriál
flag vlajky
times dobách
consider považovať
of počtu
certain určitým
nationalism nacionalizmus
articles články
charts rebríčkoch
become stály
order poriadok
declared vyhlásili
košice košický
head hlavou
justice dvore
formation vytváranie
internal vnútornej
fibers vlákna
concerns obavy
cell celý
occurred odohrala
highly značne
group zoskupenia
massively hromadne
nominal nominálnej
death smrť
total celkovej
favourite obľúbené
figure obrázku
sentence vety
rome ríme
castle zámku
amendment novela
inclinations sklony
issue vydania
contract zmluva
inorganic anorganických
czechoslovakia československa
western západnou
that danom
married oženil
maximum maximálne
complex komplex
latitude šírky
famous známi
themselves maximálne
other ostatné
determined určený
apply vzťahuje
in u
fight boja
village osada
hungarian maďarsku
german nemeckými
solid teleso
czech češtine
theory theorie
apparatus prístrojov
last posledné
theatre divadla
led vedľa
proceed postupovať
long dlhú
hardest najväčším
north severne
highest najvyššiu
what akú
experiences skúsenosti
duration trvania
tower veži
seriously vážne
nation národa
republic republík
simple jednoduché
width šírka
truth pravdu
weight hmotnosť
view zobrazenie
tone tón
place uskutočnil
built vybudovaný
openly otvorené
http finančných
work prácu
month mesiacom
tourism cestovný
command velenia
predominate prevládajú
business obchodné
flowering rozkvetu
czech českej
drama dráma
fright des
clubs klubov
including obsahujúcich
emperor cisár
song pieseň
construction výstavba
expression prejavom
represents predstavuje
functional funkčné
any akejkoľvek
continued pokračovala
phosphorus fosforu
defined definované
chosen vybral
worked pôsobil
czech český
hardest najväčšie
prisoners zajatcov
seizing obsadení
introduced zaviedol
concert koncertné
presidents predsedov
facts fakty
translations preklady
visit návšteve
relationship súvislosť
wishing chcú
mate mať
team tým
hungarian maďarskej
page stránke
suffering utrpenie
save zachrániť
color farbu
time doby
email emailu
lack nedostatok
english anglická
silicon kremík
sag pohybujú
economics ekonomika
out uvádza
ten desať
awards ocenenia
movement pohybe
client klienta
user užívateľ
increase zvyšovanie
file podať
combined spojili
become stali
said vyhlásil
by spoločnosťou
causes prípadov
home domácnosti
chemistry chémie
musically hudobné
western západnom
contact dotykom
lowest najnižšia
systematics systematika
mrl hľadaní
hero hrdinu
real reálna
did urobil
founded založili
quantities množstvá
street ulice
members členmi
castle paláca
brain mozog
extremely extrémne
right právo
used využívané
cell celú
ozone ozónu
jana jána
metal kov
such takých
diet snemu
volume zväzok
railway železničnej
city mestom
like podobná
depend závisia
fortifications opevnenia
top hornej
get dostávajú
reaches dostávajú
clearly jasné
theatrically divadelné
rome ríma
ready pripravené
flower kvet
mixture zmesou
convictions presvedčenia
subject predmetov
crafted vytvorené
byzantine byzantskej
fusion fúzia
connection pripojenie
without bez
climatic klimatických
get nástup
next vedľa
study štúdií
popes pápeži
realizes realizuje
question otázku
methamphetamine metamfetamín
environment prostredí
factors faktory
mass masové
guns najznámejší
open otvorený
structural stavebný
know známym
chemistry chémii
fast rýchle
classically klasický
parallel paralelne
triangle trojuholníku
spread šíriť
products výrobkov
focused zameraná
holiday sviatok
beliefs presvedčení
trunk trup
give venovať
maximum maximálna
appointed vymenoval
move pohybujú
rotation otáčania
inner vnútorná
two dve
childbirth pôrode
audibly zvukové
national národnej
canceled zrušil
was stal
infection infekcie
estonia estónska
color farby
therapy terapia
contract zmluve
characteristic charakteristická
remained ostal
sw św
recorded nahral
western západná
naturally samozrejme
macedonia macedónsko
centrally centrálne
towns mestách
representative zástupcom
divisions divízie
famous známe
most najviac
some určitom
palace palác
lowers zníži
whom koho
cancel zrušenie
leo lev
treatment liečby
icy ľadový
industry priemyselnej
magnetically magnetický
recorded zaznamenal
board radou
deals rieši
level úrovni
polish poľské
systems sústavách
institutes inštitúcie
others iné
show svedčia
numbers čísel
long-term dlhodobo
sweat poznáme
higher vyššie
instruction inštrukcií
club klubom
other ostatných
smaller menší
moose los
solution roztoku
explain vysvetliť
ever čias
burqa búrky
artificially umelo
game hrá
human ľudskou
merged spojili
compilation kompilácie
kilometers kilometrov
science vedú
sense rozum
vienna viedne
driver vodič
western západný
tourism ruchu
workers pracujúcich
river rieku
my môj
clay hliny
dr. dr
costs náklady
deserve zaslúžil
treasurer tajomníka
cats mačiek
fans fanúšikov
observers pozorovateľov
animals živočíchov
higher vyššiu
ox vôľa
physical fyzická
fighting bojoch
operate pôsobiť
banned zakázal
species druhmi
medical zdravotný
organization usporiadanie
decline úpadku
birth narodenia
president prezidenta
treatment liečba
beauty krásu
common bežného
business obchodných
was bolo
strain kmene
magazine časopise
upper horný
impact vplyv
right správne
base báz
direct priamy
superfamily nadčeľaď
represents reprezentujú
late neskorej
nuclear jadrové
interface rozhrania
preserved zachovalo
religion náboženského
function úloha
significant značná
son synom
district okresy
temples chrámy
communists komunistov
mobile mobilné
scottish škótsky
open otvorené
castles zámkoch
state stave
capital kapitálu
advantage výhodou
pokemon pokémon
able schopní
merchants obchodníci
real reálne
gods bohovia
unit celku
poetry poézie
approval schválenia
nationally národnostné
turn zasa
eye oči
close blízkych
orbit dráhy
oil ropných
reached dosiahol
attempt pokus
differently odlišné
difficult ťažšie
coarse hrubá
even dokonca
theoretically teoreticky
levels úrovne
virtually prakticky
members členovia
oceans oceánov
selected zvolený
technically technicky
role úlohe
model vzorom
thinking myslenia
queen kráľovnej
bill zákon
lord pán
time doba
consumption spotrebu
education školstva
ties tých
world reálna
goals ciele
central strednom
protected chránené
right práva
stephen štefana
occurs nastáva
conditions podmienkami
bulbs žiarovky
believes verí
vintage ročník
ordered prikázal
championship majstrovstiev
monarchy monarchie
filename názvom
psychosis psychózy
once jednom
next budúcich
budapest budapešť
very samého
legislation zákony
used používania
gravity gravitačného
other druhé
justice práva
coins euromincí
hands rukou
attack zaútočili
policy politiku
city mestá
building stavebný
grown pestuje
images obrazy
sheet list
texts textov
black čiernych
river rieky
can možná
standing postavením
get dostal
this takýmto
england anglicka
did urobila
palace paláci
person osobu
movement hnutie
replace nahradiť
formation vznikom
cylinder valca
proteins bielkoviny
classic klasická
of týchto
journal časopise
go prejsť
mark označujú
six šiestich
kegs súdom
city mestskej
useful dôležité
members príslušníkov
looks vyzerá
showed ukázali
historical historických
israel izraelská
generation generácia
manor-house kaštieľ
payment platby
fiber vlákien
hills vrchov
history históriu
cooperate spolupracovať
airport letiska
collection zbierky
immigrants prisťahovalcov
was išlo
peace pokoja
models modely
smart pamätná
soon onedlho
ensure zabezpečenie
come pochádzajú
vienna viedni
teachers učiteľov
space kozmickej
captivity zajatí
hear počuť
child dieťaťa
like podobnú
partisan partizánom
cavity dutiny
male mužského
called nazývaná
such takej
difference rozdiel
net čistý
differ líši
face tváre
characteristically charakteristický
apparatus prístroj
atomic atómových
hot horúcich
latin latinčiny
backwards dozadu
effect účinnosť
chosen zvolil
composers skladateľov
capacity kapacitou
transmitter vysielač
good dobré
understands chápe
political politickým
stand stáť
emissions emisie
air vzduchu
complete úplný
actor herec
visitors návštevníkov
point miestom
fortification opevnenie
before onedlho
ear ucho
few niekoľkých
cooperative družstva
dictionary slovník
problem problémom
efficiency účinnosť
internet internetových
many mnohých
love láska
philosophical filozofická
labeling označovaná
ore rudy
final konečnom
psilocybin psilocybín
milan milana
says hovorí
grounds areál
drama drámy
defence obrana
that aby
novel románu
hands rúk
planets planétok
get získa
essence podstata
attack útokom
writers spisovatelia
ina iná
low nízkych
tries pokúša
euro eurobankovky
tail chvost
become stala
doubts pochybnosti
evidently zreteľne
successor nástupcu
replaces nahrádza
ensure zabezpečil
fighting bojujúcich
basic základných
threat hrozbou
transport dopravné
any prípadné
role úloha
properties vlastností
valleys údolia
first najprv
orbit dráhu
fascism fašizmu
result následok
centre centra
epitaph epitaf
argentina argentíny
authorisations schválenia
found nájdené
canceled zrušená
flows vlieva
for za
bank breh
known známou
permanently trvalé
bones kostí
previous predchádzajúcej
northwestern severozápadnej
other ďalšej
construction stavebných
arbitrary ľubovoľné
prisoners väzňov
brings prináša
sounds znie
chemistry chemie
small mála
church kostol
equipment zariadení
sentences vety
monarchy monarchia
ukrainian ukrajinská
the tá
talk hovoriť
critical kritické
electric elektrickej
square námestí
mutual vzájomné
tower vežu
university univerzity
degree stupni
group skupinou
family rod
electrocuted elektrickým
policy politiky
acquisition získanie
to ku
used používal
serie séria
shows vyplýva
motive motívom
movement hnutia
development rozvoji
proclamation vyhlásenie
milan miláno
physicist physik
low nízkym
its svojím
military vojenských
far ďaleko
dates pochádza
termination ukončení
its svojim
varies kolíše
similarly podobne
addresses adries
like podobný
western západnú
and pričom
album albumom
viruses vírusov
ally spojencom
consumption spotreby
pyramid pyramíd
current bežného
powers mocností
human ľudskom
fell padol
plastic plášť
currency meny
canada kanady
you tv
sulfuric sírovej
truth pravdy
together spoločne
measured meria
we nám
fire paľbu
year ročné
later neskoršie
temporarily dočasné
built stavali
liberation oslobodenie
imagery zobrazovanie
community obci
contract zmluvu
make robiť
calculations výpočty
galaxies galaxií
informational informačné
proton protón
gravitationally gravitačné
yellow žlté
character postavou
kory kôry
milan miláne
venice benátky
company spoločnosti
parts časti
intercourse styku
constructions konštrukcie
ilya iľjič
every každú
altair oltár
focus sústrediť
benes beneš
missiles strely
basis základ
own svoju
widely široko
studied študoval
bulgaria bulharsko
fuselage trup
education vzdelanie
fuel palivá
slightly mierne
french francúzskom
clerical úradným
circle kruhu
suppression represia
his svojho
username používateľ
continent svetadiel
prehistory pravek
openings otvory
we budeme
finds zistí
category kategória
dead mŕtve
anne anna
sports športové
sources zdroje
made vystúpil
necessary potrebných
desert púšte
ends končí
air letecká
printing tlač
salt solí
color farba
last posledný
process proces
together dohromady
returned vrátili
earthquake zemetrasenia
not nebudú
albanian albánsko
dushan dušan
participated zúčastnil
renaissance renesancia
cultures kultúr
however však
solid tuhé
room pokoji
north severného
units jednotiek
palace paláca
resistors rezistory
church cirkevných
ended ukončil
containing obsahujúcich
directions smerov
rule pravidlo
line riadku
multiple viaceré
shows udáva
greenland grónsko
earth zemou
indian indického
bohemia čechách
cloud oblaku
copper medi
also aj
makers tvorcovia
novel románe
nuclear jadrových
opposite opak
presov prešove
leaving odchode
early počiatkom
next ďalší
plant rastlinná
changed zmenila
action konanie
work pracovného
versions verzií
abandoned opustili
meet stretli
perception vnímanie
church cirkvou
can možné
rescued zachrániť
channels kanály
roads cestách
education vzdelania
railroad železnica
restore obnoviť
g. g
study pracovná
games hier
atrium predsiene
people ľuďoch
last poslednú
old starí
basin povodia
weights váh
calendar kalendári
lucky šťastie
face tvárou
known zvaný
groups skupín
once jednou
israel izraelské
become stáli
falls prípadne
voices hlasy
allows umožňuje
breakdown havárii
change zmenu
material materiály
containing neobsahujú
peace pokoji
heritage dedičstvo
nature podstatu
question otázka
small malou
neck krku
special zvláštnu
french francúzskych
preserved zachovali
be stať
ladislav ladislava
classic vážnej
concerts koncerte
interested zaujímal
triangle trojuholníka
tissue tkanív
condition podmienkou
construction stavby
shoulders ramená
prevention prevencia
latin latinské
meantime dovtedy
twilight zatmenie
schemes schémy
caliber kalibru
extended rozšírený
atmosphere atmosféru
church cirkvi
physics fyzikálnych
contract zmluvy
cave jaskyne
estonia estónsko
fit západnou
oriented zameraný
negotiations rokovania
philip filip
processor procesora
catholics katolíci
marriage manželstvo
development rozvoju
somewhere niekde
science náuka
strong silnými
it ono
wars vojnách
cycle cyklu
ready pripravený
day dňa
magnetic magnetickým
carbon uhlíkové
virus vírus
operate pôsobia
certainly rozhodovať
inflation inflácie
administrative administratívnych
easy ľahké
called nazývané
step krok
weakly slabo
climate klimatické
entity subjektu
young mláďat
occupational pracovného
officially oficiálne
rare zriedkavé
installed zaviedli
procedures postupy
compile kompilácie
parties strán
category kategórie
camp tábor
face tvar
spiritual duchovné
nearest najbližšie
business podnikania
slowly pomalky
organisation organizácií
function funkcií
liberates uvoľňuje
bosnia bosna
democrats demokrati
village ves
and až
interrogates skúma
catholic katolíckych
our našom
prepared pripravoval
early často
the tých
cathedral katedrály
club klube
catherine katarína
airports letiská
goat koza
beauty krásy
czechoslovakia československu
zero nulová
overall celkovo
meet stretávame
shown zobrazený
by doplnené
album albumov
english anglického
holes klesne
several viacero
nation národom
but však
days dňoch
using používania
ideas ideí
palace paláce
month mesiaca
east východného
fetus plodu
appointed menovaný
privileges výsady
bracket zložené
decades desaťročí
french obzvlášť
council vlád
solve vyriešiť
gain získavajú
nominated volení
suggests naznačuje
up najvyššiu
public verejnej
england anglicko
sets nastávajú
greek gréčtine
division divízií
chemically chemický
ecliptic ekliptike
philosophical filozofické
labeled pomenovaná
sewer kanál
theory teoreticky
derivation deriváciu
commemorative pamätných
east východe
completely kompletne
kings kráľov
economic ekonomického
present prítomný
wide široko
sport šport
political politických
solid pevného
background pozadia
perversion perverzia
birth pôrode
geographical geografické
parents rodičov
participated zúčastnili
railroad železnice
heart srdca
bulb žiarovky
origin pôvod
obtained získava
nature podstaty
physical fyzickej
topics témy
transport dopravná
by cez
sides bokoch
elected zvolený
expression výrazu
dog psa
emit vydávať
them nimi
climax klimax
serie sérii
other druhej
time dobe
construction stavbu
lenses šošoviek
reviews používateľov
contest súťaž
figure postavou
security bezpečnosť
most najdôležitejším
it ňu
support podporoval
washes obmýva
marketing marketingu
spiritual duchovný
populated osídlené
corps zbor
forth štvrtá
slovak slovenčine
size veľkostí
reduced zníži
month mesačné
marijuana marihuany
produce vyrobiť
full plne
independent samostatnej
rich bohatá
metals kovov
weapons zbrane
several niekoľko
returned vrátila
distinguish rozoznávame
separate samostatný
this takomto
summer letá
higher vysokým
pay platí
anti- protitankových
crowns koruny
besides popri
museum múzeá
public štátny
lower dolná
christmas vianoce
naturally prirodzené
german nemecký
electric elektricky
reportedly údajne
babylonia babylonii
ship lodí
expected predpokladá
huge veľkého
security bezpečnosti
central ústredným
turnover obrat
human ľudskú
significant výraznejšie
or ani
freedom slobodu
operating operačné
field teréne
painting maliarstvo
changed zmenil
estimate odhadov
author autorom
building vybudovanie
flora flóra
bishop biskupom
recorded nahrali
latin latinčine
ancient antických
terror teroru
reputation povesti
received získalo
created vznikli
notes pripomína
it naň
sky oblohe
cloudiness oblačnosť
bronze bronzová
disk disku
painting maľba
attacks útokoch
being bytosť
hopefully snáď
volcanic sopečná
some určitej
life životný
alcohols ropné
letters listov
today dnešné
attain nadobúda
britain británia
element prvkom
phosphorus fosfor
melting rozpúšťa
communities komunity
natural prírodných
everything všetko
created vytvorilo
known známymi
location poloha
satisfy splniť
speaks rozpráva
fonts písma
browsers prehliadač
song skladba
sports športová
home vlasti
garden záhrade
substances látkami
partisans partizáni
beliefs presvedčenia
second druhej
religious náboženská
group skupinám
evangelic evanjelickej
sheath pošvy
education výchova
successfully úspešne
see videl
properties vlastnosťami
give dali
guitars gitary
people ľuďmi
napoleon napoleona
flow tok
represented zastúpené
considered považovali
back vzadu
considerably značné
files súbory
time momente
person osobe
pioneer pionier
aristotle aristotelova
state stavu
particulars podrobnosti
except okrem
services službách
surface povrchom
md mudr
explains vysvetľuje
comprises pozostáva
business obchodný
opened otvorene
serve slúžiť
soviet sovietskej
cleanly čisto
personality osobností
finished dokončený
previous predchádzajúce
watching pozorujeme
study študijných
board rade
disease chorobe
outside maximálne
with se
printer tlačiarní
cathedral katedrála
small malom
whole celku
composition zloženia
danube dunaji
philosopher filozofov
secretary tajomníka
stock zásob
mistake hrúbka
july júl
flash blesku
god bohu
paul paula
blue modrá
kapital kapitál
place miestom
attack útok
stars hviezdy
europol európou
eastern východné
disadvantages nevýhody
player hráča
particularly obzvlášť
descendants potomkov
packaging obal
decay rozpad
golden zlatý
basilica bazilika
some niektorý
there dochádzalo
other ostatnými
headquartered sídlo
so natoľko
years rokmi
term termínom
politicians politikov
period období
conclusion záveru
reminds pripomína
german nemeckú
trnava trnave
west západné
protein proteíny
existed existovala
rules pravidla
content obsahu
experimental experimentálne
both oba
increment zrýchlenie
storm búrky
cycle cyklus
complex areálu
basset baset
algorithm algoritmus
george georg
had nechal
all všetkých
fact fakt
court dvor
study prieskum
degree stupňom
describes opisuje
societal spoločenská
the tej
tasks úloh
tennis tenis
actions konania
relationship vzťahom
rhyme rým
external vonkajších
danube dunaja
metropolitan metropolitná
maybe možná
shield štít
cold studená
sculptor sochára
path ceste
wife manželkou
chemical chemický
slope sklon
uranium urán
frequency frekvencií
munich mníchov
garden záhrada
contemporaneous týkajúce
britain británie
industrial priemyselnej
iraq iraku
look pozri
suppression potlačení
position postavení
vaclav václav
enforce presadiť
traditionally tradične
search hľadaní
youth mladosti
team tímu
western západného
rise vznikať
serbians srbi
share akcií
oktober október
arises vzniká
completion dokončení
london londýne
end koncový
later neskorších
state štát
permanent stála
human ľudský
works pracuje
code čísel
month mesiaci
animals zvierat
freight dopravné
actions akcie
southwest juhozápadnej
actually vlastné
etc. atp
protocols protokoly
employs uplatňuje
conflicts konflikty
passed zložil
conditions stavov
dover dôveru
explanation vysvetlenie
boundary hranicou
find našli
require vyžadujú
australia austrálii
tools nástroje
track trať
wanted chcela
registers zápisu
vegetation rastlinstvo
worked pracovala
stones kameňov
birth narodení
society spoločnosti
anterior predchádzajúce
no žiadny
first prvej
body telesom
occasionally príležitostne
points poukazujú
correct správania
cells bunkách
friend priateľ
concerts koncerty
classical antické
israeli izraelská
american americkej
obligation povinnosť
negative negatívne
stat stáť
french francúzskej
roman rímskych
labeled nazval
character charakter
penalty trest
theaters divadla
person osoba
current obežnú
various rôznych
myth mytológia
use používaný
chlorine chlóru
today dnešná
composition zloženie
homogeneous homogénne
centuries storočiach
social sociálny
institutional inštitúcií
hymenoptera blanokrídlovce
enemy nepriateľom
sources pramene
vegetal rastlinná
table tabuľke
ilyich iľjič
television televízia
eastern východného
matter záležitosť
from zo
types druhov
climatic klimatické
network sietí
small malých
remain zachovať
nation národ
scandium skandium
a obsahom
week týždeň
participation účasť
buildings stavieb
creek potoka
tchaikovsky čajkovskij
temperature teplote
herzegovina hercegovina
victory víťazstvo
photosynthesis fotosyntéza
young mladého
reached dosahoval
pope pápežovi
individually samostatne
disease choroba
pope pápežov
battle bitka
january januára
common bežné
matthias mateja
urban mestských
released vydala
also io
operationally operačné
kosice košický
right pravej
jewish židovskej
europe európou
skin kože
newspaper novín
annual ročný
oxides oxidov
faith vieru
papers dokumenty
units celkov
easy ľahký
fought bojovalo
full plnej
traces stopy
protestant protestantské
arm rameno
motive motív
books knihy
victory víťazstva
quantum kvantovej
recorded nahrala
disposition dispozícii
wolf vlka
oxide oxid
turks turci
chile čile
way spôsobu
loss straty
million milióny
proclaimed vyhlásili
slower pomalšie
babel babylonu
roman rímske
composition zložením
writing zápis
will bude
articles článkov
enough dostatočne
transition prechodom
departures obchody
motor motoru
surgeries operácií
words slová
percussion bicie
central centrálna
departure odchod
allowed umožnili
popular populárnej
tried pokúšali
book kniha
fifth piaty
occur nastávajú
opponents súperov
overseas zámorské
enters ústi
balance rovnováhe
subject predmet
beat poraziť
tissue tkaniva
stage stadium
churches cirkví
religious náboženské
methane metán
political politickou
error chyba
goal cieľ
same istých
coding kódovanie
followed sledoval
problems problémy
ancient staroveký
allegedly údajne
again znovu
friends priateľov
military vojaci
occupy obsadiť
roman rímskej
streets uliciach
brain mozgu
code zákonník
representation vyobrazenie
processors procesorov
camp tábore
britain británii
marriage manželstva
association asociácie
marino maríno
average priemerný
sink slnkom
contracts zmlúv
eastern východná
union zväz
same rovnakých
obtains získavať
version verzií
potatoes zemiakov
mark marka
classic klasické
believe veria
color boja
know vedel
longest najdlhšie
distribution rozdelenie
australia austrálie
every každých
specifically špecifický
divided rozdeliť
tangible hmotný
some istej
many mnohým
not nedá
dependents závislé
parliamentarian poslanec
you ty
cannabis marihuana
lower nižšej
rim rím
lower spodnej
with so
bills bankovky
lava lávy
access prístupu
partizani partizáni
gardens záhrady
gold zlatú
fights zápasy
did urobili
each každého
colouring sfarbenie
modern moderný
all všetok
takes zaberá
social sociálnu
yet doteraz
maria márie
movements pohyby
mostly väčšinou
lives býva
makes robí
based sídli
exposure expozícia
distances vzdialenostiach
reference zmienku
foreign cudzích
numbers počty
option možnosťou
express vyjadrujú
manufacture vyrobiť
ties tych
no žiadnu
years roky
punjab trnavský
imaging zobrazovaní
hardest najväčší
diplomatic diplomatické
cuba klube
secondary stredných
replaced nahradené
goods tovaru
pages stránok
located nachádzajú
after po
god boží
designed navrhnuté
plan plán
eastern východnej
square námestia
extreme extrémne
independent nezávislý
opening otvorenie
intended určený
demonstration prejav
prevented bránili
browsers prehliadača
slovakia slovenska
economics ekonomické
scientific vedeckého
slovak slovenčina
institute ústave
walls hradby
convent kláštora
seldom zriedka
albums albumom
currents prúdov
world svetom
watching sledovanie
side boku
scope pôsobnosti
accepted prijaté
able schopná
meaning významu
territorially územné
hundred stovky
themes motívy
only výlučne
wife manželka
lunar lunárneho
final konečné
coup prevrat
standard štandardom
freedom slobody
curve krivky
markets trhy
tool nástroj
roman rímska
construction stavbe
stay pobytu
victory víťazstve
minority menšina
kingdom kráľovstvo
load zaťaženie
magazine časopis
u.s. amerických
allowed umožnilo
feature vlastnosťou
book knihe
organisations organizácií
revolution revolúcii
subject predmetu
youth mládeže
input vstúpiť
i l
morava mestá
people národ
elicit dokázali
metric metrického
divisibility deliteľnosť
central centrálne
move sťahovať
discovers objavuje
tends zvykne
present súčasnosť
gout dna
tourism ruch
rooms miestnosti
bog boha
latin latinčina
domestic domácich
location lokalita
enzymes enzýmy
resulting výsledný
constructed postavený
special špeciálnym
unknown neznámy
units celky
prince princ
affected ovplyvnená
super súper
investment investície
groups skupiny
religions náboženstva
thermal tepelná
tank tanku
mainly prevažne
judicature súdny
relations vzťahoch
castle hradom
significant značné
gulf zálive
camp tábora
issued vydané
countries štátmi
data dát
so-called takzvaný
january januári
gold zlatý
show prejavujú
social sociálnych
also iv
anatomy anatómia
forwarded postúpili
more vyššou
different rôznych
spiritual náboženských
expand rozšíriť
australia austrália
world svet
roughly zhruba
not ne
against proti
planets planét
called nazývaný
world sveta
absolute úplné
calf tele
societal spoločenských
defenses opevnení
israeli izraelské
reports hlási
sodium sodík
water vode
animal živočíšne
top najvyššou
north severu
notion pojem
impression dojem
religion náboženstva
good dobrých
album albumu
heat teplom
attitudes postoje
debt dlhú
eyes očí
script skript
will začne
middle strednom
threads vlákna
asked položené
distribution rozdelenia
not nemusia
management správu
arrival nástupom
th tému
community obec
sculptor sochár
pyramids pyramídy
oriented zamerané
data údaje
began začal
eminent významným
kilometer kilometrov
canceled zrušené
situated nachádza
angels anjeli
maria mária
prohibited zakázal
lines čiary
display prejavovať
clan obľúbený
museums múzeá
romans rimania
cemetery cintoríne
material hmotných
legal právnych
sun slnečných
clear jasné
volcanoes sopiek
enemies nepriateľov
monument pamiatkou
bond väzbou
limestone vápenec
position pozície
risk riziko
growth rastú
creativity tvorivosť
lactic mliečnej
construction stavba
elected volený
tendency tendenciu
judiciary súdnictvo
human ľudské
locations miestach
able dokázali
craters kráterov
unless pokiaľ
abortion potratu
