insignias obilježja
out izlasku
to ka
tobacco duhan
customs običajima
defining određivanje
substrate podloge
news novina
back nazad
ahead ispred
theatre pozorišne
expands širi
law prava
passing prolazi
millions miliona
requested zatražio
award nagrada
represented zastupljena
first prvoj
central centralne
moved prešao
river rijeci
communications komunikacije
ovens peći
all sva
heights visoravni
political političko
parterre parteru
create tvore
linked povezana
electric električnih
jaundice žutica
similar sličnu
long duga
came došlo
fall jeseni
facts činjenici
regulations propisima
request tražio
older starih
communal zajedničke
kovacevic kovačević
brought donio
wall zida
finds pronalazi
appears nastupa
movies filmovi
traditions tradicije
studio studijski
kids djecu
boss šef
sasa saša
mohamed muhammed
receives dobija
tell javi
crossing prelaska
industrial industrijske
wine vina
keepers čuvari
construction izgradnjom
value vrijednost
macromolecules makromolekula
vertebrate kičmenjaci
hour sat
usage korištenja
tuzla tuzli
church crkveni
complete potpuno
bosna bosnu
big velikoj
financial novčane
ours našem
businesses poslovima
emperor cara
state države
held držati
europeans evropljana
traditional tradicionalne
grave grob
what kakvo
qualified kvalifikovana
bosnian bosanska
gora gore
recorded zabilježen
ports luke
balls loptice
competition takmičenje
fight bori
connects povezuje
poetry poeziju
chekhov čehov
rise uspon
sell prodati
types tipovi
alexander aleksandra
cocoon larve
it njime
presentation prikaza
german njem
styria štajersku
used namijenjen
augustine augustin
order red
little maloj
defined definisan
creates stvori
study studijski
authorities vlast
example uzor
peaceful mirnim
foundation temelju
assumptions pretpostavke
illyrian ilirskog
color boju
macroeconomics makroekonomija
branch grana
changes promjenama
speak govoriti
stronger jača
moon mjeseca
classic klasičnog
properly pravilno
those onih
requires zahtijeva
defeat poraz
zirconium cink
serves služi
allowed dozvoljeno
coming dolaze
news vijest
corpus korpus
pronounced proglašenja
cardiac srčanog
escapes bježi
changes izmjene
son sina
same ista
official službena
goods dobara
seaside primorje
releases oslobađa
regions krajeve
these ovakve
tall visoku
golden zlatnim
throw bacanje
assumed preuzeo
membership članstvo
after posle
nikolai nikolaj
expansion širenju
weeks sedmica
reduction redukcija
want želimo
industrial industrijskim
value vrijednosti
seen ogleda
played svirao
experiments eksperimenti
writers pisaca
friction trenja
strong jakih
agriculture poljoprivreda
carries nosi
prince knez
easy jednostavni
interpretation tumačenju
urge nagon
first prvog
mountain majevice
area pojasom
peten petén
authority vlast
regions krajeva
complex kompleks
started započeo
actually zapravo
coast obali
athlete sportista
streptomycin streptomicin
winner pobjednik
change mijenjati
heavy teškim
january januaru
canada kanadi
she ona
union savezu
iron željeznog
contributions prilozi
digital digitalne
showed pojavila
peninsulas poluostrva
tomb stećci
wings krila
pristina priština
world svjetsku
apply primjenjuje
vegetation vegetacija
soil tlo
languages jezike
denominations denominacije
institute zavod
beauties ljepote
teams timovi
warfare ratovanja
possession posjedu
land zemljom
germany njemačkom
trigger povod
saw vidjeli
blamed optužen
wtc stc
units jedinici
known poznatijih
church crkvene
artist umjetnika
series red
swell otoka
centimeter centimetar
constituted uspostavljena
here ovde
novel romanu
next slijedećih
catherine katarina
abortion abortus
i li
belarus bjelorusije
famous poznat
wanted htio
global svjetskih
communal zajednički
construction gradnji
each svakom
ends završava
vrbas vrbasa
istanbul istanbulu
winds vjetrovi
central centralni
southwest jugozapadnom
struggles borbama
differs razlikuje
hadith hadisu
rome rima
love ljubavna
electron elektrona
letter slovo
north sjevera
charter povelji
clothing odjeću
muscles mišićnih
inside samom
influence uticaj
execution izvršenje
court dvora
change izmjena
purpose smisao
israel izraela
was činili
classic klasičnoj
champions prvaci
stone kamenom
individuals pojedinci
cavity šupljine
noted čuvenu
married oženio
traditional tradicionalni
ship broda
half polovine
stayed ostala
extreme krajnjem
pixels piksela
ports luka
industrial industrijska
plane aviona
competition takmičenja
kidney bubrega
this ove
medium srednjih
decades desetljeća
same isto
injuries povrede
attributed pripisuje
reliably pouzdano
keyboards klavijature
front prednji
significantly značajno
multitudes mnoštva
turkish turski
be bit
description opis
literary književnog
colors boje
standards standarda
meaning značenja
him mu
secondary sekundarni
commit izvršiti
expert stručni
real prave
held održava
knowledge saznanja
ijekavian ijekavskog
announcement objava
golden zlatnih
throughout širom
today današnjoj
argument rasprave
town grada
men muškaraca
order poredak
consider smatra
unique jedinstvenog
note napomena
look pogledu
sights zanimljivosti
infrastructure infrastruktura
jump preskok
high visokih
serbia srbiju
beliefs vjerovanja
political političku
styrian štajerske
players igrače
receive dobije
own svoje
all cjelokupne
achilles ahilej
ottomans osmanlija
breakdown slom
related povezano
democracy demokratije
street ulica
divide podjeli
bosnian bosansko
hockey hokej
tied vezane
income dohodak
ore rude
sevdalinka sevdalinke
greatly uveliko
depending zavisnosti
create stvaranju
contemporary savremenim
content sadržaju
evidence dolazi
temperature temperaturu
village seoski
increases povećava
manganese mangan
recognized priznati
music muzike
it ona
heavy teških
fuel gorivo
coast obale
highlands gorje
forces silama
feelings osjeća
called pozvao
basis osnovi
limited ograničen
catholics katolici
production pravljenje
mythology mitologije
pray moli
rarely rijetko
encounter susret
romans rimljani
southwest jugozapadu
district okruga
maintenance održavanja
germany njemačkoj
man čovjeku
build gradili
start počinju
published izdat
said ukazao
allah allahov
northwestern sjeverozapadnom
archives arhiv
health zdravlja
structure strukturom
in u
example primjer
human ljudski
aquatic vodenom
love ljubavne
licence dozvola
rose ruža
introduced uvodi
half polovini
arming naoružanje
arabian arapskom
create stvori
chloroplast hloroplasti
goals cijevi
appointed postavljen
responsibility obaveza
accompanying prateći
captain kapetana
reaches seže
rare rijetka
science nauka
loses gubi
as kakav
listing popisu
cells ćelijama
breeding uzgoj
potentially potencijalno
surname janković
tunnel tunel
matter materije
trust povjerenje
sex spola
inside unutar
english engleskih
have moraju
occurrence pojavu
then tadašnje
communal zajedničku
resistance otpor
dialect dijalekta
working radili
call nazivu
private privatnih
north sjevernom
europeans evropljani
protocol protokola
conquers osvaja
enemies neprijatelja
unity jedinstva
next slijedećim
copper cu
belong pripadao
mellow blage
split splita
arthritis artritis
insufficiently malo
north-east sjeveroistočne
federal federalne
stay boravka
properties imovine
occurred dogodila
hcg započinje
sombor semberije
turkish turske
human ljudska
irish irske
calculating računanje
winters zime
colors boja
opportunity prilika
leap preskok
principles principima
real pravi
procedures postupaka
mohammed muhamed
properties svojstva
other drugim
fields terena
counting računanja
same isti
ties veže
coronation krunidbe
reconstruction obnove
ethan etan
audience publika
eyes očne
fangs kljove
vertebrates kičmenjaci
get dobio
resource resursa
magazine časopisa
contributed doprinijeli
dynasty loze
agency agencije
user korisnik
jurisdiction nadležnosti
witnesses svjedoči
street ulice
coal ugalj
apply primjeni
reduction smanjenje
abdullah abdulah
traditional tradicionalno
faith vjera
departments odsjeci
stronger jači
wins osvaja
aware svjestan
published izdata
solution rastvor
majority većinski
funds sredstvima
coast obala
events događajima
study izlučivanje
abdominal trbušne
generally generalno
golden zlatan
name abdulah
right desnom
lasting trajno
without bez
gains stiče
mark ocjenu
muscular mišićni
circumstances okolnosti
august avgust
players igrača
saint sveti
confluent pritoke
decline padu
tied vezani
acting djelovanjem
campaign pohoda
modern modernih
man muški
different različitu
minister poslaniku
what čemu
agriculture poljoprivredi
india indiji
center centrima
patients bolesnika
became postala
town dubrovnikom
seeds sjemenke
impact uticaj
board odbor
century vijek
units jedinica
ore ruda
lexicology leksikologija
haven raj
balkans balkanu
speech govor
get dobili
england englesku
carry nose
hussein husein
patient pacijenata
million miliona
established osniva
finnish finski
ecclesiastical crkveni
historic historičar
look vidi
fears straha
refused odbila
command zapovjedništvom
them njih
ancient antičkih
conquest osvajanja
won osvojenih
borders granicama
monarchies monarhije
football fudbalski
skopje skoplje
bosnian bosanski
north sjevernoj
mythology mitologija
examples primjeri
individual pojedini
claims tvrdi
human ljudske
movement pokreta
markets tržišta
types tipova
rare rijetke
terms pojmova
went otišao
decrease smanjuju
civilisation civilizaciju
facts činjenice
stjepan stjepana
disposes raspolaže
where gdje
catastrophe propasti
belief vjerovanju
mesa meša
metabolism metabolizma
zone pojasa
albanians albanaca
stable stabilna
jobs poslovima
side bočne
plate ploča
rule vlašću
head glave
algeria alžira
albums albuma
products proizvoda
districts župe
foundation osnivanje
pump pumpa
are čine
happened dogodio
christian kršćanskih
soil tla
dispute spora
muslims muslimanima
return povratak
skill vještine
federal federalna
steel čelika
damage štete
appears pojavljuje
standards standardi
move kreće
broadcast prijenos
separate podijeliti
small mali
composed sastavljena
insectivores bubojedi
literacy pismenost
irish irska
village sela
city gradskom
applications aplikacije
popular popularan
limited ograničeno
corpus korpusa
identity identiteta
changing mijenjati
generals vojskovođe
few nekoliko
mechanic mehaničke
necessary potrebna
granddaughter unuka
dubrovnik dubrovnikom
activity djelovanjem
insects insekata
similar slične
silent tih
monitors monitori
compound spojevi
northern sjeverni
finance finansije
western zapadnu
conflicts sukobe
foster njeguje
long dugo
greatest najvećoj
involve učestvovao
performing nastupaju
regular redovno
phosphorus fosfora
verses stihove
cotton pamuk
faith vjere
mecca meke
owners vlasnika
stated navedenim
shares dionice
net mreža
slavic slavenski
appeared pojavile
enclaves enklave
austrian austrijska
critics kritika
national domaći
act djeluju
employment makroekonomija
ground tlo
usora usore
recognize spoznati
trait osobina
sick oboljenja
ottoman osmanlijsko
cathedral katedrala
ores rudama
large velikim
users korisnika
kazakhstan kazahstana
winning osvajanjem
aria arija
law pravu
shows predstave
youngster mladića
became postale
killing ubija
discipline disciplina
milosevic milošević
material građe
constantly stalno
norms normi
artistic umjetnički
number brojem
rivers rijeka
often češće
invaders okupatora
sailing pomorstvo
same istu
position položaja
movie filmskom
politician političar
age starosti
union savez
performing obavljanje
slavs slaveni
orders naredbi
rooms sobe
decides određuje
channels kanali
illness bolest
albeit mada
critics kritike
viewpoint gledište
practice praksa
hold držati
holly svete
technical tehnički
seeking želeći
components komponenata
resources resursa
cantons kantonu
nice lijepo
dynasties dinastije
finnish finske
calender kalendara
transact obavlja
content sadržajem
wikipedia wikipediji
state državnog
once jednom
studying proučavanjem
inhabited naseljeno
goods robe
definitions definicije
certain određena
chinese kineski
smaller manjoj
screen ekrana
hero junak
union saveza
hydrography hidrografija
purpose svrha
publication izdanja
right pravilno
wet vlažna
foreigners stranaca
royal kraljevska
foca foča
chooses bira
bosnian bosansku
representative zastupnika
sector sektoru
head glavi
turns skreće
certainly sigurno
there ondje
pump pumpe
stew čorba
poets pjesnici
balkan balkanski
consciousness svijest
natural prirodnog
enough dovoljan
will volje
migrations seobe
general opšte
sections odsjeci
damage šteta
port luka
freed oslobodio
southerners južnjaci
small male
shock šoku
flying lete
different različito
periodically povremeno
moves pokretima
ottoman osmanlijski
rooms prostori
pyramids piramide
hundred stotina
spirit duhu
parks parkovi
henry henrika
dispute spore
just baš
western zapadnom
travel turistički
tito tita
links spojevi
sexual spolnog
some pojedinim
disk diska
higher veća
half polovina
expansion širenje
communicating komuniciranje
olympic olimpijade
division divizija
contain sadržavati
transportation prijevoz
flat ravan
rotates okreće
mediterranean mediteran
factors faktora
fibers vlakna
increased povećala
wide široku
persian perzijski
sound zvučni
these navedenim
bosnia bosni
which kojega
district župi
speakers govornici
thought mislio
streets ceste
usora usori
position poziciji
austrian austrijske
sulfur sumpora
transaction transakcija
then tadašnjeg
was nalazila
sources izvora
olympic olimpijskih
need potrebna
introduce uvodi
chloride hlorid
notes note
dies umre
faith vjeri
trainer trener
entries unosi
patients pacijenata
kovach kovač
saving makroekonomija
get dobila
slovenians slovenaca
appeared pojavila
maintenance održavanju
international međunarodnih
belongs pripada
usually obično
assembly skup
standing stoji
introduced uveo
state savezna
railway pruga
isomerase izomeraza
novel romana
rest ostatka
ideal idealno
resources sredstva
parallel paralelno
soccer nogometni
connects povezuju
medieval srednjovjekovnog
town gradom
apply primjenjuju
agriculture poljoprivredu
styrian štajerska
players igrači
winner osvajač
skill vještina
resolution odluku
resources resurse
covers zahvata
expression izraz
singer pjevačica
clan loze
acid kiselinu
wealth bogatstvo
colonies kolonije
temper naravi
zenica zenici
ingredient sastojak
became postali
epistle poslanice
point tačaka
posted objavio
reads glasi
silver srebro
albums albumi
croatia hrvatska
norms norme
for za
craftsman zanatlije
common zajedničko
actions djelovanja
greeks grcima
intensive intenzivno
mammals sisara
fluid tekućina
construction građevinski
write pišu
finnish finska
drugs lijekovima
honor čest
theorists teoretičari
subject podanika
enrolled upisuje
basis temelja
wine vino
developer proizvođač
matrix matrice
marriage brak
stamped žigom
prefers draži
top najboljih
old starih
studied učio
last zadnjih
competitions takmičenje
health zdravstvene
selenium selena
gray sive
humidity vlažnost
final konačan
partisans partizana
ages vijekova
samples primjeraka
plain nizine
hero junaka
wikipedia wikipedije
button dugme
peoples narodima
inherited naslijedio
game igru
gas gasa
certain određene
black crnoj
final finalu
related povezanih
concerts koncerti
educational školskom
consequence posljedicu
that takve
river rijeku
sarajevo sarajevskim
matter materija
mediums medijima
fuel goriva
media medija
light svjetlosti
actor glumica
foca foče
sunni sunitski
discovered otkriveno
owned okviru
royal kraljevske
antique antičkih
execute izvesti
science nauke
goods roba
language jezični
solar sunčev
town brčko
ovary jajnika
growing uzgoj
organized organizira
concerts koncerta
originally prvobitno
treatment liječenja
younger mlađih
historical historijskim
implementation izvršavanje
bosnian bošnjaci
export izvozu
productions produkcije
such takvo
some pojedinih
bowels crijeva
after nakon
thought misao
state država
muslims muslimane
second druga
special specijalne
retained zadržao
commander komandant
origin postanak
reads čita
amounts iznosi
sports sportovima
division divizije
isomer izomeraza
begs moli
tax porezne
even čak
fight bore
represented predstavljao
society društvu
prussian pruskog
basic osnovnog
small mala
take zauzima
events zbivanja
performers izvođača
religion vjeroispovijesti
sulphur sumpor
old starim
domes kupe
road cesta
led vodio
norm uzoru
arab arapska
is si
detected otkrivene
bulgarian bugarskoj
highest najviša
tuzla tuzle
application pripremu
coast obalu
geological geološke
bosnia bosne
standards norme
seat sjedište
irish irskoj
mound uzvišenja
civilians civila
residential stambenih
similar slično
sources izvore
fruits plodovi
kid dijete
opportunity priliku
music muzičkog
ownership vlasništvu
episode epizoda
process proces
combat borbeni
artistic umjetnička
adverbs prilozi
including uključujući
katharina katarina
line crta
itself sam
dushan dušan
rail željezničke
navy pomorstvo
costs troškova
conclusions zaključka
police polisa
completion završetku
ties vezama
pass dodavanje
inform izvesti
electrical električnih
position pozicije
moving seli
zenica zenice
gain dobiti
matrix matrica
gist srž
alcoholism alkoholizam
name blaža
surroundings okružuje
tour turneja
support podržavala
game igri
practice praksi
collection kolekcija
pipes cijevi
contrary suprotno
enter ući
partial djelomično
take zauzimaju
algorithm algoritam
friction trenje
fluid tekućine
different različiti
lactose laktoza
state zemlje
accepted prihvatio
bulgarian bugarskom
richness bogatstva
georgia gruzija
married udala
recognized priznala
former području
automobiles automobila
prince kraljević
wave talasa
ideology ideologija
friar fra
wells vrela
black crnom
back povratku
warm toplim
competitions takmičenja
organized uređena
drama drame
radius prečnika
very vrlo
future budućeg
constitution uspostavljanje
enter ulaze
rejects odbija
benefit korist
belonged pripadao
many dosta
there postojalo
slavs slavena
officer oficira
methodology metodologija
crystal kristalni
ottoman osmanske
glory slavu
calendar kalendara
southeastern jugoistočne
receives prima
waking budi
studio studij
dispose raspolaže
brand marka
working ratne
musician muzičara
layer sloja
said rekli
iteration ponavljanje
technical tehnička
clock sat
etc. materijali
departments departmana
spent proveo
theirs njihovu
population stanovništvo
magnesium magnezijuma
which koja
decision odlukom
remote daljem
pewter kalaj
had morali
dutch holandski
became postalo
language jezične
skyscrapers neboderi
mood raspoloženja
this ovu
northern sjevernu
you ti
chinese kineska
oxygen kisik
expansion proširenja
region predjelu
architectural arhitekture
represented zastupljeni
little malog
field terena
mothers majke
revival preporod
concerts koncerte
media medije
believer vjernik
foca foči
country državu
their njihovim
connects priključuje
media mediji
knights viteza
parliament sabor
here evo
constantly stalni
occupation okupacije
location lokacija
amounts iznose
district okrugu
occasion prilikom
productions produkcija
sale dohotka
processor procesora
railway željezničke
monitor monitora
probes sonde
established osnovan
latinus latin
flowers cvijeće
especially pogotovo
economy privrednog
decoration ukras
it ono
apostle apostola
row red
back natrag
conflicts sukobi
ability vještina
looking tražeći
estimations procjene
head glavu
liquids tečnosti
south juga
gdp bdp
great velik
student učenik
composer kompozitor
highways autoputeva
man čovjeka
appeared pojavili
geological geološki
population stanovništvu
triangle trougla
weakly slabo
command komandu
academy akademiju
watched gleda
publishes izdaje
herbs biljaka
itself sama
part djelom
course toka
modern savremenog
depending zavise
market tržište
whole cjelokupne
meet upoznaje
secure osigura
factors faktori
opportunities prilikama
pass dodavanja
movies filmova
position pozicija
established osnovao
fall padne
common zajedničku
goat koza
must smiju
chansons šansona
leave napustiti
artistic umjetničke
such takvu
biography biografija
information podatak
rail željeznički
bosniak bošnjaka
paris pariza
occupations zanimanja
less manjoj
western zapadnog
orders naredbe
birds ptice
ottoman osmanski
their njihov
fear strahu
prices cijene
essence suštini
signify označavaju
which koje
basis osnovu
ball lopticu
central centralna
extreme ekstremno
bearer nositelj
extension nastavak
capitol prijestolnica
liquid tečnosti
denotes označava
security sigurnosti
caesar cezara
related povezane
destruction uništavanje
specificity specifičnosti
economical ekonomskih
past proteklih
result ishod
society društvo
tour turneje
unity jedinstvo
find pronaći
happened dogodila
elevation nadmorskoj
vayu vaju
building izgrađuje
ground tlu
ensure osigura
mammals sisari
wide široko
they to
integral sastavni
general opšta
twilight sumrak
spectrum spektra
attack napad
publications objave
wife ženu
had morale
sciences naukama
none nikakve
reason razlog
historical historijskih
saw vidio
tombstones stećcima
ottoman osmanlijsku
split splitu
possession posjed
balkan balkanu
attack napadom
character likom
long duge
modern savremenoj
prepositions prilozi
cover obuhvataju
cup kupu
testing isprobavanje
norway norveška
did uradio
searching traženje
time put
meanwhile međuvremenu
break pauze
are jesu
parks parkova
built izgrađuje
expansion proširenje
casas kazasi
marks ocjene
monarch monarh
responsibility odgovornost
center jezgro
are spadaju
czech češke
jacob jakova
mostar mostarski
town gradsko
our naš
publication izdanju
kind vrstom
homework zadaće
point navode
developed razvijenom
consciousness svijesti
open otvaraju
ottoman osmansko
loss gubitak
effects efekata
trade trgovinu
will bit
performers izvođači
bosniaks bošnjake
descend spuštaju
seemed činilo
gods bogovi
whole svima
current sadašnja
studying proučavaju
actions radnje
traffic prometu
its svom
opinion mišljenja
pc računaru
physical vlastiti
held drže
tomato paradajza
trace trag
read čitati
represent predstavljaju
means podrazumijeva
annual godišnji
freedom slobodu
various razni
potato krompir
enemy neprijatelja
based bazira
aperture otvor
lord knez
starts polazi
chance priliku
computer računarskog
followers sljedbenici
representation reprezentacije
deal baviti
positions položaja
yugoslavia jugoslavije
was bila
adopted usvojen
communities društava
ahmet ahmeta
nervous nervnog
computer računarske
vote glasa
disk disku
lowers smanjuje
ancient antičko
heritage baština
shall ću
hit šlager
denmark danska
croatian hrvatskoj
years godine
communistic komunistička
culture kulturu
similar nalik
religion religiju
banned zabranio
phosphorus fosfor
antique antičko
ending završetka
move kreću
best najboljeg
wide široki
duel dvoboj
ethnical etničke
most najviše
that onom
advisor savjetnika
lead vodili
provides osigurava
aids sida
turkish turskog
onion luk
objectives ciljevi
bake peći
srebrenica srebrenicu
held održane
rules pravila
found nalaziti
whole cjelokupnu
reaches dostiže
tournaments turniri
family porodicu
find našle
olympics olimpijade
ignite pali
requirements zahtjeve
yes da
services usluge
grounds temelji
determined odredio
defeated poraženi
breastfeeding dojenje
8 viii
computer računarski
dimension dimenzija
constitution ustav
cup kupa
environmental životne
execute izvršavati
fr sr
trying pokušavaju
kept zadržao
board ploča
different različitih
high visoki
semantics semantika
cancer rak
opened otvorene
stile stil
determined određen
unique jedinstveno
population naseljenosti
such takve
broadcast prikazivanja
medieval srednjovjekovnu
exit izlasku
withdraws povlači
common uobičajeno
ball loptica
western zapadne
left izašao
approach pristup
expects očekuje
today današnjeg
normal normalnim
small malom
gain dobili
camp logor
wealth bogatstva
basin slivu
primary osnovne
century vijeka
grove gaj
land tlu
dalmatia dalmacije
gate kapija
manager predsjednik
very samom
repeating ponavljanje
inflation makroekonomija
appreciate cijene
made činili
planes avioni
independent neovisno
red crvenih
legs nogama
dangers opasnosti
numbers broja
brand marki
egg jajna
technology tehnologije
getting dobijanje
different različita
emitted prenosi
abandoned napustio
remain ostane
languages jezici
pilgrimage hadža
herzegovina hercegovine
contribution doprinos
wife ženi
rest ostali
since jos
cover obradu
wedding udaje
rumors glasine
customs običaja
doors vratima
enter unijeti
showed pokazalo
demonstration prikazivanja
that onog
ally saveznika
syria sirije
red crvenim
does obavlja
bird ptica
both oba
czech češka
tax porezni
techniques tehnike
identical jednak
parliament sabora
certain određenu
specialty posebnost
opinion mišljenje
fixing namještaja
called zovu
total ukupnim
assumed predstavljao
give dalo
planets planete
gave predao
shield štit
established uspostavili
networking umrežavanje
describes opisuje
tennis tenis
top vrhu
bosniaks bošnjaka
emerge nastali
merchant trgovačka
kings kraljevi
location lokaciji
list popisu
cube kocka
food hrani
british britanci
compiler kompajler
morphology morfologija
wildly divlje
muhammad muhammed
stay ostao
make čini
state državom
management menadžment
can može
foreign stranom
provinces provincijama
denmark danske
oviduct jajovod
disappear gube
responsibility odgovornosti
vojvodina vojvodini
situated smještena
differ razlikuju
french francuza
deciduous listopadne
alphabet pismom
novella novela
yugoslavia jugoslaviji
shelter sklonište
tourist turista
such takvih
important bitna
bosniak bošnjak
thirds trećine
art umjetnički
both dvaju
youth mladosti
write piše
besides uostalom
cantons kantona
following slijedećim
contents sadržaju
hundreds stotinjak
cocktail koktel
increase porasta
jews židovi
meaning značenju
gain dobilo
positions položaje
limited ograničena
constitute čine
public javnost
aisha aiša
wide široke
weight teret
opened otvorena
which ćemo
thinking mišljenju
disagreement neslaganja
shorten skraćeno
centuries vijekovima
entities entiteta
such takvi
requirements zahtjeva
thought misli
access pristup
battles bitaka
key ključne
independently nezavisno
children djecom
match utakmica
row redu
reactions reakcije
straight ravna
authority organa
film filmske
held održana
relation veza
supports podržava
therefore samim
establishments uspostavljanje
acid kisela
transferred prenose
primary osnovna
north servera
success uspjehom
mexico meksika
vicinity blizini
establishing uspostavljanja
alexander aleksandar
important bitne
corridor koridor
bursts puca
until dok
stadiums stadiona
heritage baštini
moderate umjereno
left lijevu
science nauku
counts broji
intentional namjerno
internal unutrašnjeg
merge pripaja
egg jajne
vizier vezir
unusual neobično
runner-up drugoplasirani
young mlad
western zapadni
surrounding okolna
grief tuge
enemy neprijatelje
establish uspostavljaju
frenchie francuza
there postojali
hill brijeg
advantage prednost
group grupom
states državama
annual godišnja
surrounded okruženju
different različitim
banished protjerani
young mlađa
technology tehnologija
book knjiga
density gustoća
position položaju
calories kalorija
cases slučajevi
started stade
forming formiranje
herzegovina hercegovina
populated naseljena
quality kvalitetu
composer kompozitori
named proglašen
battle bitka
spa banja
human ljudskom
members člana
with sa
communicating komuniciranja
gods bogova
synthesis sinteza
footer podnožju
like slično
hardens pojačava
shoots puca
know znaju
strain istezanje
product tvorevina
soviet sovjetska
bosnia bosnu
trigonometry trigonometrijske
territory teritorij
high visoko
impact udar
commercial trgovački
should trebalo
switch zamijeniti
established uspostavljena
mountain planinsko
help pomaže
apartment stavova
itself samoj
land tlo
condition uslov
mostly naročito
russia rusijom
turks turci
surrealists nadrealista
substance tvari
directs upućuje
served služili
earth zemljinoj
control kontroliše
medal medalja
close bliski
autonomy autonomiju
called nazvana
downloads preuzimanja
clip snimka
spirit duha
temple hram
showed pokazala
kaaba kabe
recorded zabilježena
takes obuhvata
go idu
age dobu
export izvoze
introducing uvođenjem
oxygen kisikom
frame okvir
current sadašnji
highlands visoravni
edge ruba
locally lokalno
categories kategorijama
motive motiv
section dionica
championship prvenstvu
sister sestru
grow rastu
subject predmet
today današnjem
of onoga
taken snimljen
heritage nasljeđe
researches istraživanja
religions religije
eyalet ejalet
past prošlost
chamber komora
built izgrađene
etymology etimologija
call nazvati
therefore stoga
such takvim
calendar kalendaru
supervision nadzor
sun sunčeva
art umjetničke
temperatures temperature
square četverougao
endowment zadužbina
stamp marka
flag zastava
smell miris
austrian austrijski
space svemiru
altitude nadmorske
variants varijante
conditions uslovima
key ključni
disappear nestaje
band benda
possibilities mogućnosti
continual neprestano
exceptions izuzetak
ammonia amonijum
lake jezero
intestine crijevo
austrians austrijanci
vapor para
lead vodila
flower cvijet
attacks napadi
color boja
edition izdanju
happenings dešavanja
its svojih
headaches glavobolje
become postao
olympic olimpijskim
chain lanac
showed pokazale
translation prijevod
balkan balkana
standard standardni
science nauci
solid čvrsta
another drugih
strategic strateški
traces tragova
died poginuo
motto moto
vegetables povrće
shoot snimanju
tournaments turnira
protocols protokoli
stand vrijede
communist komunista
replacing zamjenjuje
forms oblicima
persons osobe
notes bilježi
kind vid
thanks zahvaljujući
stamps maraka
existing postojećih
played igrati
its njeno
mediation posredstvom
earth zemljine
ancient antički
voltage napona
continued nastavili
marks markama
card kartica
between izmedu
values vrijednosti
university univerzitetski
previous prethodnog
mouth ustima
mineral minerala
forehead čelo
objectives ciljeva
peninsula poluostrvo
environment okolinu
era toka
ability sposobnosti
works radovima
list spisak
film filmski
finland finska
body organizmu
eat jedu
chief načelnik
after po
bulgaria bugarska
being bića
transfer prenos
courts terenima
mean značilo
appears pojaviti
formation formacije
forming formiranja
hundreds stotine
people ljudima
epidemic epidemija
compared poređenju
most najčešće
vertebrates kičmenjaka
advocated zalagao
low niskim
archipelago arhipelag
hands rukama
milder blaža
origin postanku
handball rukomet
representatives predstavnici
unique jedinstvenu
everyday svakodnevno
appear pojavljuju
built izgrađena
market tržištu
rulers vladari
closely usko
software softvera
employ zapošljava
announces objavljuje
world svetom
usual uobičajena
special posebnu
small malog
international međunarodno
listing popis
war vojnim
partially djelimično
commercial trgovačke
thence odatle
trade trgovini
air zrak
anthropology antropologiju
uses iskorištava
such ovakve
fight bici
began započela
common zajedničke
association asocijacija
hungary mađarskom
fort tvrđava
goal cilj
chinese kineskog
prior prethodno
region regiju
death smrt
art umjetnička
are predstavljaju
world svijetu
nodes žlijezde
different drugačije
carbonate karbonat
rank rang
except osim
jews židova
burden teret
radius poluprečnika
positive pozitivan
objective objektivne
child djeteta
freed oslobođen
jews jevreja
sequel nastavak
resolution rezolucija
lost izgubio
oldest najstarijih
execution pogubljena
sun sunčeve
problems problemi
district župa
soldier vojnik
medulla moždine
townsfolk stanovnicima
picture slikom
evil zli
hotels hoteli
years godina
veins vene
french francuzi
of biljnih
some pojedine
parallelogram paralelogram
archeological arheološki
slovenians slovenci
fear straha
watch gledaju
birth rođenje
particular osobito
mostly većim
was radilo
award nagradu
vegetables povrća
concert koncerta
municipal općine
beginning nastankom
shit šit
thirty trideset
colors bojama
final završni
showed pokazali
opened otvoreni
mountain planinski
long dugu
start započinju
war ratnim
riots pobune
editions izdanja
hospital bolnica
special posebnih
processing obrade
about otprilike
fluids tekućine
bc pne
match utakmici
not ne
guitarist gitarista
palace dvor
bulgaria bugarske
telecommunication telekomunikacione
being biće
sufficient dovoljan
solid čvrste
still ipak
government vlasti
food prehrambena
say kažu
jewish jevrejskog
marija mariju
knowledge spoznaje
previous prethodne
horizon horizonta
ball loptice
expression izraza
sky neba
linguistic jezički
term termina
album albumu
trade trgovine
schools školama
both objema
buried sahranjen
springs izvire
just tek
hungary mađarskoj
belly trbušne
british englezi
managing upravljanje
middle središtu
necessary potrebno
definitely definitivno
services usluga
firms firmi
more jos
hurts boli
soviet sovjetski
atlantic atlantski
name marije
origin potiču
change promjena
or ili
rivers rijeke
moment trenutku
high visoku
finland finske
exterior vanjskog
transforms pretvara
medieval srednjovjekovne
places mjestima
production proizvodnog
public javno
said govorili
uterus materica
yugoslavia jugoslaviju
common uobičajena
has sastoji
good dobrim
moral moralni
copies naklada
may smije
uses upotrebljava
enemies neprijatelje
passes polazi
religion religije
those onima
culture kulture
plans planovi
powers silama
father otac
volleyball odbojka
