roamed ફર્યો
self અપની
comedy વિનોદ
bmc બીએમસી
radio રેડીયો
devil રાક્ષસ
matter વાત
trade ટ્રેડ
write લખ્યુ
produce પેદા
source સ્ત્રોતો
played રમતા
always સદા
next આગળના
keeping મૂકવા
elders વડીલો
office કચેરીઓ
borders સરહદો
done થયા
flow વહી
nations રાષ્ટ્રોને
role ભુમિકા
tribal આદિવાસી
rules સિદ્ધાંતને
read પડયું
tomb મકબરા
furious ઉગ્ર
it ઇસ
civilian લોકોથી
empires સામ્રાજ્યો
inspire પ્રોત્સાહિત
man માણસ
born જન્મી
agree સંમત
path પંથ
1952 ૧૯૫૨
characteristic લક્ષણ
artistic કલાત્મક
approximate અંદાજિત
kingship રાજપદ
unions સંગઠનો
you તમારે
58 ૫૮
arabia અરેબિયા
bringing લાવી
done દીધું
description વિવરણ
mahavir મહાવીર
civil સનદી
collecting ભેગા
fell પડીને
dilip દિલીપ
jivan જીવણે
fish મત્સ્ય
number ૧૯૨૪
someone કોઈ
association મંડળ
arab અરબ
globalization વૈશ્વિકરણની
police પોલીસ
km કીમી
anyone કોઇપણ
industries ઈન્ડસ્ટ્રીઝ
said જણાવ્યું
forces પરિબળો
stop અટકી
choudhary ચૌધરી
al અલ
streams પ્રવાહો
seen દેખાતો
medium મધ્યમ
present વર્તમાન
signs ચિન્હ
damodar દામોદર
epilepsy દર્દીઓ
east-west દક્ષિણપશ્ચિમ
cpu સીપીયુ
good સારું
increased વધારી
from પૈકીનો
months મહિનાઓ
danger જોખમ
double ડબલ
cell સેલ
norway નોર્વે
sales સેલ્સ
gave દિધા
complexion સ્વરુપ
lanka લંકા
pending થવામાં
name ગાંધીજીએ
parliamentary સંસદીય
policy નીતિની
comparatively પ્રમાણમાં
comic કોમિક
aeroplane વિમાન
idea આઈડિયા
knowledge શાસ્ત્રીઓ
chess ચેસ
little નાનું
temporary કામચલાઉ
kingdom રજવાડું
similar એકરૂપ
together સાથે
official સત્તાવાર
mercy દયા
creative રચનાત્મક
technique તકનીક
sportsmen ખેલાડીઓ
poland પોલેન્ડ
dispute વિવાદો
masses જનતા
written લખાયેલા
name નરસિંહ
flows વહે
throne ગાદી
eklavya એકલવ્ય
astronomer ખગોળશાસ્ત્રીય
rays કિરણો
sharad શરદ
information જાણ
chain સાંકળી
publicity પ્રચાર
premiere પ્રિમિયર
believed માનવામા
comets ધૂમકેતુઓ
mountain પર્વતીય
word શબ્દને
reward પારિતોષિક
monk સાધુ
origination ઉદભવ
slowly ધીરે
agra આગરા
year વરસ
medical શસ્ત્રક્રિયા
uttermost છેક
metabolism ચયાપચય
person વ્યક્તિ
for માટેની
their તેમનો
installation સ્થાપન
herein અહીંની
behave જીવતો
creations કૃતિઓ
project પ્રકલ્પ
by દ્વારા
father પિતાએ
containing ધરાવતાં
troops દળોએ
business ધંધો
whole આખા
through દ્રારા
light રોશની
last છેલ્લાં
cultured કેળવી
talk ચર્ચા
palitana પાલીતાણા
farsi ફારસી
king સુલતાને
stop રોકી
union યુનિયન
done કર્યુ
business વ્યાપાર
hymns ભજનો
dioxide ડાયોક્સાઈડ
capability કાર્યક્ષમતા
pole ધ્રુવ
top શિખર
store સ્ટોર
mathura મથુરા
final ફાઈનલ
calculation ગણતરી
light લાઇટ
doubt શક
rules કાયદાના
facility સગવડ
relativity સાપેક્ષતા
resident નિવાસી
estimations આગાહી
illumination રોશની
change બદલાઇ
commentary વિવરણ
kill નાખવા
personal જાતીય
work કામે
stages સ્તરો
dissension મતભેદો
back પાછું
between વચ્ચે
ground જમીનની
suitability યોગ્યતા
effect પ્રભાવ
bheem ભીમ
missed ચુક્યા
deep દુર્ગમ
repeat પુનઃ
bush બુશ
judging અર્થઘટન
god ભગવાનને
known જાણીતો
roaming ફરતા
sculpture શિલ્પ
baghdad બગદાદ
russian રશિયન
sexual જાતિય
cancel રદ
broad વ્યાપ
service સેવાનો
death મોત
function પ્રસંગોએ
of થયેલાં
result પરિણામ
gandhiji ગાંધીજી
peoples નાગરિકો
might કદાચ
burnt સળગાવી
hill ડુંગર
1893 ૧૮૯૩
today આજે
without વિના
fare મેળો
product પ્રોડક્ટ
noticing નોંધાયું
possibly શક્યતઃ
for માટેના
created કૃત
east પૂર્વ
its એનું
jointly સામૂહિક
tough સઘન
increased વધવા
making બનાવીને
received મળ્યું
giving આપતાં
position સ્થાને
take લઇ
people લોકો
celestial અવકાશી
dimond રત્ન
appearance દેખાવ
substances તત્વો
terminal પાછળની
quantity માત્રા
its ઉનકે
tectonic ટેકટોનિક
astronomy ખગોળશાસ્ત્ર
things વસ્તુઓની
refusal ઇનકાર
exactly બરોબર
thinking વિચારસરણી
whole આખી
force બળને
primitive તળપદી
biological જૈવિક
jain જૈન
emperor સમ્રાટ
speed ઝડપે
divert વાળવા
million મિલીયન
believe માનતા
weasley વેસ્લી
came આવ્યા
information વિગત
pinnacle કળશ
son પુત્રને
reproduction ચયાપચય
corn અનાજ
parliament વિધાનસભાની
moved ફરીને
excellent અનેરું
position હોદ્દા
occasion પર્વ
trash કચરો
universal યુનિવર્સલ
distribute વહેંચાઇ
middle મધ્ય
internal અંતરિયાળ
family કુટુંબની
revolution બળવાને
full પૂર્વક
hari હરિ
scientist વૈજ્ઞાનિક
turk તુર્ક
internal અંદરની
extreme અતિ
blissful ભરપુર
civilizations સંસ્કૃતિઓ
efficiency કુશળતા
finding પામે
wishes ઇચ્છે
shown દાખવી
common સમૂહ
mass સમૂહને
defend સામનો
spot સ્થાનકો
crisis સંકટ
transportation વાહનવ્યવહાર
atomic આણ્વીક
conversation બોલચાલમાં
collective સંગ્રહિત
kiya કિયા
aim લક્ષ્યાંક
unapproachable દુર્ગમ
scientists વૈજ્ઞાનિકોએ
auspicious શુભ
feature લક્ષણ
honour માથે
default હાઈ
recognize સાંકળી
spam સ્પામ
thick ગાઢ
security સલામતી
presented બતાવવામાં
kept રાખ્યુ
show દર્શાવી
troop દળ
quality ગુણવત્તા
universal સાર્વત્રિક
snow બરફ
jail જેલ
red રેડ
prophets પયગંબર
towards પ્રતિ
criticism વિવેચન
struggle સંઘર્ષ
cow ગાય
1907 ૧૯૦૭
way મારગ
electronic ઇલેક્ટ્રોનિક
temperature તાપમાન
joined જોડાયેલા
time વખત
base બેઝ
conduct આચાર
pay ભરવા
damascus દમિશ્ક
cortices કવચ
rectangular લંબચોરસ
flow પ્રવાહ
october ઑકટોબર
vanish ગાયબ
this આનો
pakistan પાકિસ્તાન
ireland આયર્લેન્ડમાં
defeated પરાજિત
emergency કટોકટી
leader મુખી
sin સાઇન
ask પૂછ્યું
doer કરનાર
einstein આઈન્સ્ટાઈન
archive સંગૃહીત
given આપેલાં
people માણસોને
for માટૅ
hungry ભુખ્યાને
minimum ઓછી
news માહિતીને
bhishma ભીષ્મએ
burma બર્મા
design ડિઝાઈન
things વસ્તુને
filmfare ફિલ્મફેર
meeting મુલાકાત
key કી
dr ડો
given આપતા
java જાવા
revenge બદલો
tiger વાઘનું
40 ૪૦
defender રક્ષક
change બદલાઈ
sea દરિયા
goddess દેવતાઓ
family કુળના
contested લડ્યા
given આપ્યા
preserved સાચવી
parliament સંસદમાં
originate ઉદ્ભવ
royal રાજવી
contribute સમર્પિત
monday સોમવાર
aspects પાસાઓ
congress કોંગ્રેસ
baltic બાલ્ટિક
more ખૂબજ
sixteen ૧૬
family કુટુંબના
short ટુંક
differences તફાવતો
film ફ઼િલ્મોં
native વતનીઓ
management કાર્યકારી
stages તબક્કા
rules નિયમોને
theatre થિયેટર
jumma જુમ્મા
enjoy મજા
damage નુકસાન
event ઘટના
greatness મહત્તા
1929 ૧૯૨૯
subhash સુભાષ
mekka મક્કા
stadium સ્ટેડિયમ
increment વધારો
railways રેલવે
yoga યોગ
non બિન
quickly જલ્દીથી
come આવવા
outcome પરિણામ
autobiography આત્મકથા
writes લખે
pollen રજ
simple સાદગી
for માટેનું
walk ચાલ
alexander એલેક્ઝાન્ડર
tsunami સુનામીની
series શ્રેણીનો
formation સંરચના
convenient અનુકૂળ
uttara ઉત્તરા
whom જેણે
navsari નવસારી
mark છાપ
nuclear અણુ
teams ટુકડીઓને
involved સામેલ
son પુત્રનો
commandant સેનાપતિ
importance અગત્યતા
loss નુકસાન
believed મનાય
ground મેદાન
joined જોડાયેલી
substance સામગ્રીના
attitude વૃત્તિ
ever હમેશા
rey રે
kept રાખ્યા
singh સિંઘ
detailed ગહન
land ભુમિ
spot સ્થલ
satyavati સત્યવતી
britishers અંગ્રેજોએ
cover આવરી
governmental સરકારી
company કંપનીને
karnatak કર્ણાટક
innings ઈનિંગ્સ
horrible ખતરનાક
generosity છૂટો
this આને
half અડધા
rich શ્રીમંત
sexual સેક્સ્યુઅલ
fight સંગ્રામમાં
2006 ૨૦૦૬
date તિથી
immediate તરત
declaration ઘોષણા
calendar કેલેન્ડર
group જૂથ
first ફર્સ્ટ
ancestor વંશજો
revolve ચક્ર
make કરીએ
settled વસેલા
unknown અદ્રશ્ય
kilogram કિગ્રા
fallen પડયું
fall પતન
plenty સારો
secretary પ્રધાન
word શબ્દના
balance સંતુલન
elements બળો
period તબક્કે
sharing શેરિંગ
low હલકી
us યુએસ
their તેમનુ
criticism ટીપ્પણી
asked માંગી
house હાઉસ
types જાતનાં
male પુરૂષ
conscious જાગૃત
no ના
evolution ઉત્પતિ
hardening કરણ
corrupt ભ્રષ્ટ
producers નિર્દેશન
literature આસ્વાદ
african આફ્રિકન
teresa ટેરેસા
breakfast નાસ્તો
pet પાળતા
unity સંગઠિત
lived રહેતો
contents સામગ્રી
mountain ડુંગર
regeneration નવજીવન
yesterdays કાળના
scattered ફેલાઈ
community કોમ
thinking વિચારોને
marine મરિન
legal કાયદેસરની
activity પ્રવૃત્તિમાં
self પોતાની
graduation દીક્ષા
bell બેલ
word શબ્દની
richard રિચાર્ડ
become થયાં
optics ઓપ્ટિક્સ
mine મારો
individuality વ્યક્તિત્વની
making બનાવી
domination આધિપત્ય
tsunami સુનામીને
complete પૂરું
happened પામ્યું
dutch ડચ
conflict સંઘર્ષો
walls વોલ્સ
cosmos બ્રહ્માંડ
guru ગુરૂ
system સિસ્ટમની
happened થયુ
human મનુષ્યો
toponym ઉત્પતિ
hanuman હનુમાનજી
look જેઓ
increasing વધતું
liking રુચિ
leave છોડોની
area ક્ષેત્રફળ
life જીવને
book બુક
wish ઈચ્છા
approval મંજુરી
numbered નંબરનું
who જેનો
past ગત
cough કફ
numbers આંકડાઓ
recorded નોંધાઈ
duryodhana દુર્યોધન
contract સંધિ
seat બેઠક
that આવુ
make રચાય
speech વાણી
fire અગ્નિ
womb ગર્ભમાં
bellow હેઠળના
roti રોટલી
countries રાષ્ટ્રો
lagaan લગાન
drought દુષ્કાળ
currently હાલનું
site સાઇટ
live જીવતો
latitude અક્ષાંશ
human માણસ
versus વિરુધ્ધ
thread સૂત્ર
gone ગયુ
build નિર્માણ
rocky ખડકાળ
real અસલ
sea દરિયામાં
half અડધી
fabric સંરચના
things વસ્તુઓને
celerity જાહેર
happened થયા
chandra ચન્દ્ર
ad ઈસવીસન
frontal અગ્ર
guru ગુરુ
houses ઘરો
extinction વિનાશ
propose પ્રસ્તાવિત
always હંમેશા
rowling રોલિંગ
door દરવાજો
living રહેલા
for ફોર
stuff વસ્તુઓ
congressmen કોંગ્રેસીઓ
mandvi માંડવી
name મહાવીરના
deities દેવો
digestion ચયાપચય
live જીવંત
halloween હેલોવીનની
bible બાઇબલ
remnants અવશેષો
sign પ્રતીકો
death મરી
sentence વાક્ય
attachment આસક્તિ
surrendered સમર્પણ
design રચનામાં
farm ખેતરમાં
subdivision ઉપખંડના
here અહીંની
regard નમસ્કાર
year સંવત
given આપ્યુ
of ટેરેસાના
throw ફેંકી
islands ટાપુઓ
minority લઘુમતી
merged ભળી
immediate જલ્દી
structure માળખું
ganga ગંગાને
yearly વાર્ષિક
when જ્યારથી
regression પીછેહઠ
wonder અજાયબી
photographs ફોટા
birth જન્મે
worship ભક્તિની
jon જૉન
faulty ખોટી
world દુનિયાનું
walking ચાલતું
gmail જીમેલ
used વપરાતી
disciples અનુયાયીઓને
doer લેનાર
him એને
golden સુવર્ણ
prevailing પ્રવર્તે
working કામગીરીમાં
tower મિનારા
newton ન્યૂટન
11 ૧૧
gold સોનું
muslim ઈસ્લામી
nirvana નિર્વાણ
house ઘર
consent સંમતિ
treatment નિરુપણ
understand સમજાવ્યા
opposite સામેના
public લોકોનું
famine દુકાળ
air વાયુઓ
ornament અલંકાર
approx અંદાજ
restriction પ્રતિબંધ
hard કડક
local સ્થાનીય
copies નકલો
tight સંકુચિત
prosperous સમૃદ્ધ
formula સિદ્ધાંતને
all સર્વે
name નામોથી
political રાજનીતિક
brought લાવવા
aware સાવચેત
presented પ્રસ્તુત
method પદ્ધતિઓ
huge પ્રચંડ
related પાસા
coins સિક્કા
word શબ્દ
nearer નજીકનું
leading ટોચની
epic મહાકાવ્યો
proved પુરવાર
selection નિમણુક
month પંચાંગની
language ભાષાની
like જેમકે
security સિક્યુરિટી
give આપ્યો
shy શ્રમ
pitch લગાવે
showing બતાવવામાં
point બિંદુ
khichdi ખીચડી
history હિસ્ટરી
related વિષયક
expressed વ્યક્ત
mercantile વાણિજ્યિક
initial શરૂઆતનું
power પાવર
monument સ્મારક
owner શેઠ
instruction સૂચના
different જુદો
tourist પ્રવાસના
mughal મોગલ
wrong ખોટા
faith મહિમા
original મૌલિક
green ગ્રીન
bbc બીબીસી
prize પારિતોષિક
flash ફ્લેશ
august પ્રતાપી
lingua લિન્ગ્વા
condition હાલની
degree ડિગ્રી
governed શાસિત
overall સર્વાધિક
failed નિષ્ફળ
australia ઓસ્ટ્રેલીયા
master ગુરુ
journey પ્રવાસમાં
little ઓછું
interests હિતો
females મહિલાઓની
god ભગવાને
scots સ્કોટ્સ
world દુનિયાના
confidence વિશ્વાસ
each પ્રત્યેક
contribution ફાળો
definition વ્યાખ્યાયિત
gulf ખાડી
how કેવી
negative નકારાત્મક
information ખાત્રી
trust આસ્થા
dependence અવલંબન
economically અર્થતંત્રમાં
return વાળવા
learning શીખતા
worship ભક્તિના
saint સાધુ
never કદી
fake નકલી
information ઈન્ફોર્મેશન
sex સેક્સ
circles વર્તુળો
experts નિષ્ણાતો
therefore અતઃ
entered પ્રવેશ્યા
awarded એનાયત
canada કેનેડા
traveller પર્યટક
whole આખું
built બંધાવ્યા
missed ચુક્યો
written લખાયેલી
permit પરવાનો
external બાહ્ય
brahma બ્રહ્મા
theater થિયેટર
francisco ફ્રાન્સિસ્કો
parmar પરમાર
offers આપતું
sale વેચાણ
stays વસે
professional વ્યવસાયિક
was થા૤
assistant સહયોગી
opposite સામેની
jahangir જહાંગીર
of સત્યના
meeting સભામાં
years વર્ષો
relative સંબંધી
determination પ્રતિજ્ઞા
considers ગણાવે
contribution યોગદાન
special ખાસ
heart હાર્ટ
keeping મૂકતા
kala કાલા
though છંતા
developed વિકસાવ્યા
chance અવસર
open જાહેર
study અધ્યયન
fort ગઢ
cricketer ક્રિકેટર્સ
suez સુએઝ
starting પ્રારંભ
fall પડ્યાં
rate સાક્ષરતા
character સ્વરુપમાં
nature સ્વભાવ
disciple શિષ્યો
purpose લક્ષ્ય
longitude રેખાંશ
porbandar પોરબંદર
saheb સાહેબ
somebody કોઇને
stories વાર્તાઓ
mohandas મોહનદાસ
matching મળતા
wrong ખોટી
courage હિંમત
practice આચરણ
level હસ્તકના
b.c. ઈસાપૂર્વ
24 ૨૪
cambridge કેમ્બ્રિજ
creature સ્થાપત્યો
beta બીટા
changes સુધારા
used વપરાતા
customary રિવાજ
objects વસ્તુઓની
bai બાઈ
annual વાર્ષિક
go જવાય
fast ઉપવાસ
owen અપની
category વર્ગમાં
madras મદ્રાસ
picture ચિતાર
tourist પ્રવાસીઓને
india ભારતને
time ટાઈમ
expectation અપેક્ષા
mantar મંત્ર
such એવાં
tsunami ચક્રવાત
estimation અંદાજ
greatly મોટાપાયે
road સડક
right ખરી
narmada નર્મદા
his એમની
moral ભાવનાત્મક
holder ધરાવતા
afterwards પછીથી
users યુઝર્સ
inception પ્રારંભ
same જેવી
processes પ્રક્રિયાઓ
loyal નિષ્ઠા
organs અંગો
important મહત્વનું
engage મનોહર
effects અસરોમાં
bring લાવ્યા
mehsana મહેસાણા
done બન્યું
battle લડાઇ
later પછી
sustained ટકાવી
enters પ્રવેશે
digestive ચયાપચય
studies અભ્યાસો
burnt બળે
men માણસો
constituents ઘટકો
believed મનાતી
tendulkar તેંડુલકરે
poem કવિતા
donation દાન
ponds સરોવરો
postures છબીઓ
professional વ્યાવસાયિક
further આગળ
helpful મદદનીશ
follow પાળે
returned ફર્યા
wakefulness જ્ઞાતિનાં
mehta મહેતાની
derived અપભ્રંશ
kabir કબીર
visual તસ્વીર
made બનાવી
as રુપે
address એડ્રેસ
news સમાચાર
victoria વિક્ટોરિયા
region પ્રદેશને
come આવતા
imposed લાદવામાં
competitions પ્રવૃતિઓ
background પૃષ્ઠભૂમિ
action ક્રિયા
money મની
educational શૈક્ષણિક
saved બચ્યા
dangerous જોખમી
lake તળાવ
education શિક્ષણના
royal ભવ્ય
servants સેવકો
reason કારણે
his એમના
appropriate સચોટ
captain કેપ્ટન
maharashtra મહારાષ્ટ્રના
communication વાર્તાલાપ
his તેમનુ
parsi પારસી
assumption પ્રતિજ્ઞા
t ત
believe માનવા
chaitra ચૈત્ર
ox બળદ
neighboring બાજુના
narasimha નરસિંહ
work કામ
former પહેલાંના
service સેવાઓ
distributed વહેંચાઇ
spatial અવકાશી
colleges કોલેજો
smoke ધૂમાડો
protect શરણ
small નાનુ
employment રોજગાર
collected એકત્રિત
component પરિબળ
fan શોખીન
spread વ્યાપ
pandu પાંડુ
included અંતર્ગત
saving બચાવી
calamity સંકટ
matter બાબતને
comparative તુલનાત્મક
master માસ્ટર
increased વધતું
behavior વર્તન
cure નિદાન
foot પદે
having ધરાવતાં
marshall માર્શલ
architecture વાસ્તુ
left છોડ્યો
cold શીત
atmosphere હવામાન
private પ્રાઈવેટ
building બિલ્ડીંગ
hard સખત
starting પૂર્વાધમાં
center કેન્દ્રની
costlier ખર્ચાળ
zone ઝોન
platoon દળોને
spread વધ્યું
whose જેમનું
resident રહેવાસી
occasion પ્રસંગ
indian ઉપનિષદ
people લોગોં
anybody કોઈપણ
number અંક
doing કરાવવામાં
storm તોફાન
entire આખું
disciples ભક્તો
did કર્યા
summit સંમેલનમાં
decision નિર્ણય
preemptively પહેલાં
evolved વિકસિત
place સ્થાન
distributed વહેંચાઈ
cut કાપી
bank બેંક
pathak પાઠક
revolts બળવા
currency મુદ્રા
plentiful વિપુલ
movie ચલચિત્ર
bardoli બારડોલી
trees વૃક્ષો
from જ્યાંથી
setting બેસીને
awarded બક્ષી
doing કરતું
pandava પાંડવ
dark કાળી
kuiper ક્વાઇપર
intervention મધ્યસ્થી
occupied હસ્તગત
inception આરંભ
sang ગાવામાં
thematic વિષયક
festivals ઉત્સવો
rights હક
precious બહુમૂલ્ય
ascetic યોગી
devotee ભકત
1993 ૧૯૯૩
know જાણીએ
day દિવસનાં
written લખાયેલો
maximum મહત્તમ
common સરખા
ra રા
comedy કોમેડી
combined જોડીને
mahaprabhu મહાપ્રભુ
radiation રેડીયેશન
quarrel તકરાર
technical ટેકનિકલ
motherly માતરમ્
castes વર્ણ
union યોગ
kill મારે
digital ડિજિટલ
dark ઘેરી
playground મેદાની
most સર્વ
club ક્લબ
earthly પાર્થિવ
directive માર્ગદર્શક
legal કાયદેસર
layer સ્તરે
access એક્સેસ
account ખાતા
son સુત
heart દિલ
details વિગતો
line માધ્યમોમાં
provide પુરુ
soul જીવ
1858 ૧૮૫૮
giving આપવાના
became થવું
weapon હથિયાર
criminal ગુનેગાર
elected ચુંટાય
descendent વંશ
settled વસેલ
solid ઘન
the ધી
wears વસ્ત્રો
differences મતભેદો
forbear પૂર્વજો
front-runner અગ્રણી
medal પદ્મ
maths ગણિતના
smell વાસ
throw ફેંકે
conversion રૂપાંતરણ
religious સાંસ્કૃતિક
microsoft માઈક્રોસોફ્ટ
4 ૪
true ખરી
general જનરલ
rau રાય
saw જોયું
believe માનવુ
their તેમના
search શોધો
loyalty વફાદારી
geographical ભૌગોલિક
wales વેલ્સ
whole આખો
happen બનવા
schemes યોજનાઓ
fish માછલી
next બાજુની
bow કમાન
bihar બિહાર
provide પુરૂ
male પુરુષ
conditions શરતો
fielding ફિલ્ડિંગ
mail પત્રો
leaflets પ્રતીકો
talented પ્રતિભાશાળી
giving દેતા
imputation આરોપ
region પ્રાન્ત
his તેમના
weight આપીને
paintings ચિત્રોં
surety ખાત્રી
permission મંજુરી
somewhere ક્યાંય
primeval પુરાણો
hope આશા
effectiveness અસરકારકતા
bullock બળદ
content કન્ટેન્ટ
artist ચિત્રકાર
lav લવ
immediately તરતજ
surrounding આજુબાજુનાં
lingual લિન્ગ્વા
theirs તેમને
his ઇનકી
eric એરિક
proper સવિશેષ
puran પુરાણ
context સંદર્ભમાં
collector કલેક્ટર
fabricate ઓપ
connect સંપર્ક
mental માનસિક
picture તસ્વીર
on પરનો
than સરખામણીએ
hot ગરમી
strip પટ્ટી
things વસ્તુઓનો
1971 ૧૯૭૧
own ખુદ
innumerable અસંખ્ય
live જીવતા
large ગ્રંથોમાં
jubilee જયંતિ
mode સ્થિતિમાં
sikandar સિકન્દર
felt લાગતું
industrialist ઉદ્યોગપતિ
success સરળતા
incidence ઘટના
gets પામે
staying વાસ
dense ઘેરી
evening સાંજ
kidnapping અપહરણ
models મોડેલ્સ
write લખતા
but પન
powers સત્તાઓ
persisted ટકી
manned સમાનવ
native વતની
king રાજાએ
low નીચલી
middle મધ્યકાલિન
initial આદિ
positive સુનિશ્ચિત
matches મેચો
garland માળા
left જમણા
languages બોલીઓમાં
their તેમની
management વ્યવસ્થામાં
impression છાપ
in માનતા
veer વીર
life જીવ
earnings કમાણી
prayers ભજનમાં
african આફ્રિકી
allegation આરોપ
bank કિનારો
name અબ્દુલ
idol મૂર્તિ
tourism ટુરીઝમ
all તમામ
fulfilled સિદ્ધ
burnt બળી
board મંડળની
sportsmanlike નિખાલસતાથી
group મંડળની
severe ધરખમ
price શુલ્ક
before સમક્ષ
believed મનાતા
cleanliness ચોકસાઈ
household ઘરેલુ
stay રહે
democracy લોકશાહી
small નાનો
making બનતી
salvation મોક્ષ
literature લખાણ
rubbed ભૂંસી
demon રાક્ષસ
unacceptable અસ્વીકાર
giving મૂકતા
high ઊઁચી
be થવા
vote ચૂંટણી
by બદલ
risky જોખમી
submit સોંપવામાં
static સ્થિરતા
impart પ્રદાન
concentrate કેન્દ્રિત
gujarat ગુજરાતે
rejected નકારી
having વાળી
humor હાસ્ય
texas ટેક્સાસ
form પદ્ધતિની
junagarh જૂનાગઢ
comer આવનાર
accept મંજૂર
wide વિસ્તરિત
friend સાથીઓ
affected અસરગ્રસ્ત
chamber ખંડની
defeated હરાવી
it તે
to લશ્કરને
film ફીલ્મ
core ગર્ભ
whom જેનાં
her હર
built બંધાયેલા
submit રજૂ
franc ફ્રાન્ક
residence નિવાસસ્થાન
obstacle અવરોધ
moment ક્ષણ
punishment દંડ
catch પકડવા
white વ્હાઇટ
known જાણીતુ
taken લીધેલી
till પર્યંત
share વહેંચે
response પ્રતિસાદ
criminals કેદીઓ
hunter શિકારી
lowland તળેટીમાં
rule નિયમોના
start શરૂ
things પદાર્થોનો
lion સિંહ
bhishma ભીષ્મ
analysis વિશ્લેષણ
ocean દરિયા
piece ટુકડો
mostly ઘણીવાર
problem તકલીફો
intention ઉદ્દેશો
on પરની
known કહેવાય
this ઇસ
tradition પરંપરાઓ
accommodation ઉતારા
fault દોષ
fort ફોર્ટ
unusual અસાધારણ
class સમાજને
group મંડળો
strange વિચિત્ર
science વિજ્ઞાનમાં
kingdom સામ્રાજ્ય
number ક્રમ
air વાયુ
indra ઈંદ્ર
classification વર્ગીકરણ
already ગયેલ
live જીવિત
known જાણીતી
usage વપરાશ
active સક્રિય
speech વક્તવ્ય
rank સ્થાને
conductor વાહક
essay નિબંધ
shelter કવચ
cabinet મંડળ
drought સૂકા
angry નારાજ
fee ફી
relations સંબંધો
recorded નોંધવામાં
assigns સોંપવામાં
department વિભાગ
hard કઠોર
fulfill સાકાર
center મધ્ય
collect એકઠી
prisoner કેદી
crossing પાર
executive વહીવટી
majority અધિકાંશ
muni મુનિના
sign ચિન્હ
jai જય
infant બાલ
process પ્રક્રિયાઓ
name સયાજીરાવ
with ધરાવતાં
over પર
forts કિલ્લા
personal વ્યક્તિગત
allen એલન
taken લેવાયેલા
falling પડવાની
with પુર્વક
high ઊઁચા
kings રાજાએ
along સાથેનો
joins ભળે
goes જતો
dream સ્વપ્ન
known કહેવાયા
huge જંગી
space અવકાશ
fallen પડેલી
bhagwat ભાગવતમ્
exile વનવાસ
81 ૮૧
edinburgh એડિનબર્ગ
lawyer વકીલ
aware જાણતા
requiring માંગતા
understanding સમજ
copy કોપી
copyright કૉપીરાઇટ
third થર્ડ
genere શૈલીના
pure પાકે
way વે
options વિકલ્પો
when જયારે
plateaus મેદાનો
built બંધાયેલી
nitrogen નાઈટ્રોજન
noted નોંધ્યું
areas પ્રદેશોના
be થવી
science વૈજ્ઞાનિક
16 ૧૬
volcano વોલ્કેનો
reciprocal પરસ્પર
start શરુ
solanki સોલંકી
based મૂળના
scientific વૈજ્ઞાનીક
strong સશક્ત
tea ચા
remaining બાકીનાં
freedom સ્વાતંત્ર્યની
in નગરીમાં
leibniz લીબનીઝ
surrounding આજુબાજુ
speed ઝડપ
of લાખો
universe બ્રહ્માંડનું
stone રત્ન
generic જાતીય
right અધિકારો
construction બાંધકામ
having વાળુ
manohar મનોહર
loyalty નિષ્ઠા
on પરના
allies સાથીઓના
maps નકશા
ceiling છત્ર
reference ઉલ્લેખ
flowers ફુલ
understand ભાન
cafe કાફે
organized આયોજીત
eastern પૂર્વ
teenager કિશોર
authority તાબો
remaining શેષ
training તાલીમ
commander સેનાપતિ
barbarian જંગલી
generous ઉદાર
loving પ્રેમાળ
form રૂપમાં
after બાદમાં
attract ખેંચે
undefeated અણનમ
that ઉસે
under અંતર્ગત
king રાજાઓ
organized યોજાયેલ
eastern પૂર્વીય
quickly જલ્દી
newspaper અખબાર
their તેઓનાં
maharashtra બાલ
collect એકઠા
red રાતા
associated સંલગ્ન
today દિને
ethnic વંશીય
atmosphere વાતાવરણ
fatal જીવલેણ
d ડી
psychology મનોવિજ્ઞાન
shree શ્રી
whole સંપુર્ણ
float વહેતા
glace ચીકણો
fourth ચતુર્થ
freedom મુકિત
decade દસકાના
piercing માર્મિક
spread ફેલાવો
each એકની
make બનાવ્યું
did કર્યુ
live જીવે
tension તનાવ
field મેદાની
sister બહેનને
behavior વર્તણૂંક
chief વડા
artists કલાકારો
persian ફારસી
again ફરીથી
area પ્રદેશમાંથી
countries દેશોં
bank કાંઠે
geometric ભૌમિતિક
his ઇનકે
regional રિજનલ
priest મહારાજે
dormant સુષુપ્ત
alen એલેન
decreased ઘટી
speciality ખાસિયત
south દક્ષીણ
medieval મધ્યકાલીન
naturally કુદરતી
cm સેમી
climb ચડવા
bringing લા
gas ઇંધણ
questions પ્રશ્નો
number ક્રમે
wanting ઇચ્છતા
1915 ૧૯૧૫
measuring માપવામાં
doing કરને
gateway ગેટવે
excitement ઉત્તેજન
nations દેશો
port બંદર
does ખાતો
written લિખીત
d ડિ
calligraphy સુલેખન
festivals તહેવારો
take લીધે
as જૈસે
reason કારણકે
maths ગણિતને
association સંઘના
disciple શિષ્ય
column સ્તંભ
element તત્વ
linguistic ભાષાકીય
all બધાજ
site સ્થળો
customers ગ્રાહકો
processes બનવાની
more વધારાના
fair મેળાઓ
stolen ચોરી
his એમનો
